Date,Open,High,Low,Close,Adj Close,Volume
2014-01-02,70.386307,70.632133,69.692711,70.114136,57.254238,2239160
2014-01-03,70.421425,71.439857,70.237053,70.87796,57.877941,2218886
2014-01-06,70.772606,71.088676,69.701492,70.070236,57.218372,1748365
2014-01-07,70.21949,71.132568,70.140472,70.92186,57.913811,1567492
2014-01-08,70.500443,70.886742,70.158035,70.544334,57.605507,2130044
2014-01-09,72.870941,72.870941,70.70237,70.790169,57.806255,1645513
2014-01-10,71.167694,71.211586,70.201935,70.544334,57.605507,1679228
2014-01-13,70.48288,70.526779,69.218613,69.402985,56.673512,2377663
2014-01-14,69.631256,70.26339,69.306412,70.193153,57.318745,1830487
2014-01-15,70.237053,70.798943,69.982445,70.316071,57.419128,2306589
2014-01-16,70.272171,70.465317,69.982445,70.070236,57.218372,1196178
2014-01-17,69.815628,70.535561,69.745392,70.210709,57.33308,3122113
2014-01-21,70.605797,70.939423,70.070236,70.517998,57.584019,1649386
2014-01-22,70.597015,70.869186,70.272171,70.570679,57.627048,1485712
2014-01-23,71.931519,72.431961,69.236176,69.631256,56.859913,1633098
2014-01-24,69.192276,69.201057,67.568039,67.57682,55.182308,2400898
2014-01-27,67.032486,68.068481,67.032486,67.164177,54.845345,1976279
2014-01-28,67.058823,67.778755,66.909569,67.629501,55.225307,1775929
2014-01-29,67.111504,67.813873,66.883232,67.190521,54.866848,1866138
2014-01-30,67.559265,68.165054,67.032486,67.866547,55.418873,1592550
2014-01-31,66.725197,67.726074,66.672523,67.251976,54.917046,2120362
2014-02-03,67.260757,67.410011,64.784897,65.039505,53.110352,3623501
2014-02-04,68.410889,68.410889,63.134327,65.803337,53.734093,4449504
2014-02-05,67.006149,67.006149,63.819141,64.556625,52.716045,3263349
2014-02-06,64.486389,65.259003,64.179108,65.144867,53.1964,2685079
2014-02-07,65.320457,65.812119,64.925369,65.750656,53.691082,1928783
2014-02-10,66.268654,66.38279,64.820015,65.364357,53.375629,2286998
2014-02-11,65.074631,65.759438,64.97805,65.548729,53.526176,2872672
2014-02-12,66.347672,66.637398,65.671638,66.356453,54.185757,4587436
2014-02-13,66.066727,66.971024,66.022827,66.909569,54.637424,2309323
2014-02-14,66.505707,67.155396,66.110626,66.96225,54.680447,1944843
2014-02-18,67.120277,67.225639,66.514488,67.155396,54.838177,2041771
2014-02-19,66.760315,67.568039,66.646179,66.856895,54.59441,1825931
2014-02-20,66.935905,67.506584,66.60228,67.172958,54.852516,1418283
2014-02-21,67.410011,67.594383,66.830551,66.900787,54.630249,2227428
2014-02-24,66.997368,68.024582,66.900787,67.427567,55.060421,1967281
2014-02-25,67.585602,67.805092,66.971024,67.611938,55.21096,1770006
2014-02-26,67.998245,68.0597,67.436348,67.971909,55.504921,2613322
2014-02-27,67.708519,68.393326,67.690956,68.235291,55.720001,2288137
2014-02-28,68.375771,68.893768,67.778755,68.287971,55.76302,2678245
2014-03-03,67.647057,67.769974,67.014923,67.313431,54.96722,1996325
2014-03-04,68.217735,68.937668,68.094818,68.876205,56.243359,2941468
2014-03-05,68.481125,68.63916,68.024582,68.235291,55.720001,1894840
2014-03-06,68.375771,68.683052,68.165054,68.507462,55.942238,1529221
2014-03-07,68.876205,69.29763,68.604042,68.972786,56.322227,1830373
2014-03-10,68.999123,69.113258,68.27919,68.665497,56.071304,1932427
2014-03-11,68.779633,68.884987,68.138718,68.393326,55.849056,1555760
2014-03-12,67.84021,68.27919,67.603165,68.208954,56.043812,1903497
2014-03-13,68.287971,68.446007,67.330994,67.594383,55.538853,3153549
2014-03-14,68.077263,68.314308,67.436348,68.086037,55.942825,2632115
2014-03-17,68.410889,68.920105,68.226517,68.911324,56.620907,2947390
2014-03-18,68.805969,69.394203,68.726952,69.350304,56.981617,1994275
2014-03-19,69.429321,69.429321,68.305534,68.735733,56.476635,1577287
2014-03-20,68.349426,68.937668,68.182617,68.779633,56.512714,1344020
2014-03-21,69.648811,69.701492,68.042145,68.261635,56.087097,5281999
2014-03-24,68.358208,68.481125,66.865669,67.120277,55.149307,2233010
2014-03-25,67.330994,67.901665,66.979805,67.322212,55.315228,1823197
2014-03-26,67.690956,67.822655,66.900787,66.900787,54.968945,1611913
2014-03-27,66.769096,67.35733,66.330116,67.313431,55.308014,2465593
2014-03-28,67.611938,68.191399,67.225639,67.559265,55.510006,1505986
2014-03-31,67.726074,68.147499,67.410011,67.831429,55.733631,1653372
2014-04-01,67.647057,68.068481,67.287094,68.042145,55.906757,2012841
2014-04-02,67.963127,68.384544,67.831429,68.191399,56.029396,1898599
2014-04-03,68.463562,68.481125,67.62072,67.928009,55.812969,1351537
2014-04-04,68.27919,68.287971,66.52327,66.567162,54.694832,2304539
2014-04-07,66.69886,66.892014,65.864792,66.084282,54.29808,1949854
2014-04-08,66.251099,66.672523,65.987709,66.338898,54.507294,1896093
2014-04-09,66.25988,66.690079,65.89991,66.619843,54.738121,1808276
2014-04-10,68.551361,68.595261,66.040382,66.040382,54.262005,4243231
2014-04-11,65.55751,66.101845,64.697105,64.732224,53.187168,3110040
2014-04-14,65.329239,65.469711,64.424934,65.179985,53.555061,2255562
2014-04-15,65.232658,65.961372,64.793678,65.917473,54.161011,2401923
2014-04-16,66.461807,66.461807,65.575066,66.224762,54.413502,2195423
2014-04-17,66.057945,67.120277,66.022827,66.997368,55.048321,2322877
2014-04-21,66.52327,67.111504,66.52327,66.777878,54.867973,1054828
2014-04-22,66.839333,67.260757,66.514488,67.014923,55.062744,1355068
2014-04-23,66.60228,67.199295,66.60228,66.979805,55.033886,1582641
2014-04-24,67.462685,67.62072,67.006149,67.269531,55.271946,1744948
2014-04-25,66.935905,67.322212,66.286217,66.426689,54.579414,1637654
2014-04-28,66.760315,67.190521,65.838455,66.444252,54.593853,2413655
2014-04-29,66.865669,67.717293,66.74276,67.594383,55.538853,2152482
2014-04-30,66.769096,68.788414,66.760315,68.446007,56.238571,2429487
2014-05-01,68.454788,68.718178,67.928009,68.147499,55.99332,1468968
2014-05-02,68.217735,68.656715,67.866547,68.077263,55.935623,2004640
2014-05-05,67.848991,68.437225,67.383667,68.366989,56.173668,1389466
2014-05-06,67.989464,68.129936,67.57682,67.655838,55.589352,1924113
2014-05-07,67.822655,68.0597,67.129059,68.007027,55.877899,2406365
2014-05-08,67.884109,68.630379,67.726074,68.349426,56.159225,2093026
2014-05-09,68.147499,68.709396,68.050919,68.54258,56.317932,1540384
2014-05-12,68.472343,69.464439,68.472343,69.262512,56.909458,1502797
2014-05-13,69.271294,69.464439,69.007904,69.288849,56.931118,1416005
2014-05-14,69.376648,69.446884,68.428444,68.560143,56.332363,1144467
2014-05-15,68.349426,68.481125,67.13784,67.383667,55.365707,2406593
2014-05-16,67.524147,68.340652,67.120277,68.314308,56.130398,2084142
2014-05-19,68.0597,68.586479,67.919228,68.525024,56.303509,1277502
2014-05-20,68.612816,68.612816,67.928009,68.094818,55.950039,1880489
2014-05-21,68.54258,68.54258,67.971909,68.235291,56.06546,1481611
2014-05-22,68.384544,68.726952,68.0597,68.551361,56.325157,1132166
2014-05-23,68.76207,69.253731,68.604042,69.227394,56.880596,1103122
2014-05-27,69.367867,69.622475,69.236176,69.622475,57.205227,1335364
2014-05-28,69.991219,70.052681,69.192276,69.244949,56.895042,1426142
2014-05-29,69.51712,69.859528,69.271294,69.850746,57.392788,1210529
2014-05-30,70.017555,70.131691,69.683929,69.9561,57.479362,2530402
2014-06-02,69.929764,70.166817,69.490784,69.692711,57.262943,1116676
2014-06-03,69.288849,69.692711,68.955223,69.104477,56.77961,2615827
2014-06-04,68.770851,69.218613,68.551361,69.209831,56.866173,2659109
2014-06-05,69.174713,69.218613,68.49868,69.095695,56.7724,1725813
2014-06-06,69.508339,69.947319,69.183495,69.894646,57.428848,1608724
2014-06-09,69.868309,70.351189,69.824409,70.237053,57.710194,1460084
2014-06-10,69.991219,70.561897,69.683929,69.710274,57.27737,2255448
2014-06-11,69.007904,69.323967,68.568916,68.955223,57.001598,1827412
2014-06-12,68.551361,69.034241,68.437225,68.700615,56.7911,1331947
2014-06-13,68.955223,69.420547,68.700615,69.192276,57.197544,1233651
2014-06-16,68.893768,69.473221,68.876205,69.051804,57.081432,1170095
2014-06-17,68.90255,69.201057,68.665497,68.674278,56.769344,2226062
2014-06-18,68.674278,69.095695,68.410889,69.016678,57.052376,2551360
2014-06-19,69.253731,69.288849,68.788414,68.884987,56.943527,1875591
2014-06-20,69.236176,69.938545,68.920105,69.754173,57.662029,3984792
2014-06-23,69.675156,69.877083,69.236176,69.552238,57.495098,1049247
2014-06-24,69.490784,69.912201,69.227394,69.411766,57.378975,1189572
2014-06-25,69.148376,69.745392,69.016678,69.578575,57.516861,1182396
2014-06-26,69.604919,69.604919,69.034241,69.455666,57.41526,1000156
2014-06-27,69.411766,69.841965,69.236176,69.78051,57.683804,1553938
2014-06-30,69.473221,69.789291,69.201057,69.604919,57.538647,1275452
2014-07-01,69.903427,70.728706,69.534683,70.561897,58.329742,1871947
2014-07-02,70.245827,70.544334,69.894646,70.430199,58.220882,1591069
2014-07-03,70.237053,70.772606,70.237053,70.755051,58.489403,883295
2014-07-07,70.395081,70.693588,70.324844,70.623352,58.380527,1255292
2014-07-08,70.553116,70.939423,70.342407,70.649696,58.402321,1723763
2014-07-09,70.825287,70.869186,70.403862,70.649696,58.402321,1074647
2014-07-10,70.939423,70.939423,70.035118,70.368744,58.170059,1085695
2014-07-11,70.474098,70.500443,69.903427,70.351189,58.155544,1217819
2014-07-14,70.579453,70.676033,70.377525,70.535561,58.307961,913022
2014-07-15,70.544334,70.860405,70.140472,70.535561,58.307961,1059612
2014-07-16,70.807724,70.834068,70.517998,70.676033,58.42408,1121687
2014-07-17,70.272171,70.70237,70.114136,70.201935,58.032177,1214857
2014-07-18,70.614571,71.255486,70.254608,71.14135,58.808739,1583893
2014-07-21,70.755051,71.176468,70.597015,71.09745,58.772438,1141848
2014-07-22,71.255486,71.808601,71.14135,71.712029,59.280472,949129
2014-07-23,71.606674,71.887619,71.369621,71.843719,59.389347,1188774
2014-07-24,71.641792,72.440735,71.633011,72.370499,59.824806,1443796
2014-07-25,72.449516,72.537315,72.028091,72.528534,59.955456,1364066
2014-07-28,72.405617,72.528534,71.913963,72.42318,59.868347,1005168
2014-07-29,72.554871,72.59877,71.878838,71.878838,59.418369,1505302
2014-07-30,72.282707,72.396835,71.738365,72.124672,59.621605,1898941
2014-07-31,72.194908,72.431961,71.053558,71.387184,59.011963,1865910
2014-08-01,71.000877,71.843719,71.000877,71.589111,59.178864,1922290
2014-08-04,71.395958,71.553993,70.755051,71.299385,58.939362,2411377
2014-08-05,71.316948,71.316948,70.377525,70.65847,58.409573,1750871
2014-08-06,70.605797,70.825287,70.359962,70.553116,58.322487,1184218
2014-08-07,70.834068,71.088676,70.070236,70.298508,58.112007,1504277
2014-08-08,70.412643,71.36084,70.412643,71.220367,58.87405,1463843
2014-08-11,71.299385,71.764709,71.255486,71.413521,59.033714,1120320
2014-08-12,71.211586,71.712029,71.053558,71.352066,58.98291,1165311
2014-08-13,71.764709,72.054436,71.264267,71.992973,59.512707,1206315
2014-08-14,73.555748,73.555748,71.72081,72.335381,59.795773,905619
2014-08-15,72.993851,73.002632,71.703247,72.230026,59.708683,1885273
2014-08-18,72.537315,73.160667,72.440735,73.090431,60.419933,1072369
2014-08-19,72.879723,73.353821,72.827042,73.248466,60.550587,958127
2014-08-20,73.187004,73.467957,72.686569,73.371376,60.652168,1227956
2014-08-21,73.371376,73.810364,73.107986,73.652328,60.88443,923729
2014-08-22,73.792801,73.924492,73.116768,73.30114,60.59412,1041616
2014-08-25,73.424057,73.696228,73.107986,73.415276,60.688454,962797
2014-08-26,73.39772,73.950836,73.239685,73.590866,60.833611,1217363
2014-08-27,73.529411,73.722565,73.248466,73.459175,60.724766,983299
2014-08-28,72.897278,73.503075,72.897278,73.309921,60.601372,947990
2014-08-29,73.705002,73.705002,72.791924,73.292358,60.586864,1773309
2014-09-02,73.467957,73.696228,73.107986,73.47673,60.739265,1374773
2014-09-03,73.827919,73.889374,73.39772,73.555748,60.804569,1212693
2014-09-04,73.459175,74.135208,73.424057,73.582092,60.82637,1006534
2014-09-05,73.47673,74.073746,73.415276,74.047409,61.210999,1367939
2014-09-08,73.669884,74.170326,73.52063,73.827919,61.029556,980223
2014-09-09,73.61721,73.792801,73.266022,73.406494,60.681194,1140936
2014-09-10,73.151886,73.441612,72.800705,73.406494,61.031578,1457351
2014-09-11,73.134331,73.230904,72.59877,73.046532,60.732304,1534005
2014-09-12,73.099213,73.204567,72.282707,72.888496,60.600899,1924796
2014-09-15,72.81826,73.406494,72.475853,73.274803,60.922104,1412360
2014-09-16,72.484634,73.362602,72.484634,73.230904,60.885601,1582641
2014-09-17,73.283585,73.318703,72.704124,73.17823,60.841816,1625125
2014-09-18,73.30114,74.021072,73.143105,73.915718,61.454952,1835840
2014-09-19,74.231781,74.345917,73.362602,73.643547,61.22868,2696355
2014-09-22,73.239685,73.546974,72.669006,72.949959,60.652004,1242193
2014-09-23,72.81826,72.949959,72.510979,72.528534,60.301632,1246522
2014-09-24,72.449516,73.801582,72.335381,73.687447,61.265171,1355068
2014-09-25,73.406494,73.406494,72.273926,72.309044,60.119141,1730255
2014-09-26,72.20369,72.660225,71.817383,72.510979,60.287041,1662371
2014-09-29,72.045654,72.791924,71.913963,72.704124,60.447639,1688112
2014-09-30,73.169449,73.266022,72.607552,72.941177,60.644718,2356135
2014-10-01,73.029999,73.080002,71.410004,71.419998,59.37999,3540300
2014-10-02,71.709999,72.629997,71.510002,72.5,60.277901,3008000
2014-10-03,73.559998,75.040001,73.550003,74.849998,62.231739,4475400
2014-10-06,74.959999,75.040001,74.290001,74.519997,61.957348,2919500
2014-10-07,74.339996,74.5,73.480003,73.519997,61.12595,2233300
2014-10-08,73.5,74.980003,73.260002,74.779999,62.173531,2078800
2014-10-09,74.800003,74.949997,73.160004,73.190002,60.851589,1972800
2014-10-10,73.25,73.82,72.650002,72.660004,60.410934,2395900
2014-10-13,72.82,73.120003,71.93,71.949997,59.820618,2058700
2014-10-14,72.559998,72.980003,72.25,72.639999,60.39431,2088100
2014-10-15,72.0,72.339996,70.5,71.779999,59.679287,2482900
2014-10-16,70.790001,72.150002,70.690002,71.629997,59.554558,2179300
2014-10-17,72.510002,72.980003,71.510002,72.68,60.427563,1700400
2014-10-20,72.540001,73.389999,72.349998,73.349998,60.984608,2125400
2014-10-21,73.629997,74.889999,73.25,74.809998,62.198486,1565300
2014-10-22,75.010002,75.18,74.559998,74.610001,62.032223,1416100
2014-10-23,75.75,76.199997,75.220001,75.440002,62.722275,1462300
2014-10-24,75.779999,76.25,75.470001,76.199997,63.354153,1131800
2014-10-27,76.25,76.599998,75.949997,76.470001,63.578674,1103400
2014-10-28,76.940002,77.32,76.220001,77.260002,64.235458,2314800
2014-10-29,77.089996,78.099998,76.93,77.919998,64.78421,1357100
2014-10-30,77.889999,79.389999,77.300003,78.949997,65.640556,2113800
2014-10-31,80.610001,81.989998,79.860001,81.779999,67.993462,3712300
2014-11-03,81.5,82.470001,81.480003,81.739998,67.960228,2707500
2014-11-04,82.349998,83.360001,82.0,83.150002,69.132523,2508300
2014-11-05,83.779999,84.379997,83.330002,84.300003,70.088661,2325900
2014-11-06,84.660004,85.099998,84.150002,84.75,70.462799,2126500
2014-11-07,84.870003,84.980003,83.68,84.379997,70.155159,2441300
2014-11-10,84.309998,85.279999,84.059998,85.120003,70.770416,1611400
2014-11-11,85.089996,85.32,84.639999,84.949997,70.629074,1267100
2014-11-12,84.769997,85.540001,84.629997,85.209999,70.845253,1516200
2014-11-13,85.43,85.889999,84.980003,85.410004,71.011543,1451600
2014-11-14,85.410004,85.529999,84.459999,84.75,70.462799,1853100
2014-11-17,84.699997,85.080002,84.540001,84.839996,70.537613,1531800
2014-11-18,84.849998,85.120003,84.449997,84.75,70.462799,1807300
2014-11-19,84.790001,84.790001,84.059998,84.269997,70.063728,2362400
2014-11-20,84.279999,84.419998,83.599998,84.120003,69.939003,2507400
