Date,Open,High,Low,Close,Adj Close,Volume
2014-01-02,17.91,18.08,17.799999,18.07,16.942684,6620900
2014-01-03,17.799999,18.35,17.639999,18.290001,17.148962,7194700
2014-01-06,18.379999,18.549999,18.07,18.08,16.952061,5989200
2014-01-07,18.200001,18.370001,18.01,18.32,17.17709,5114400
2014-01-08,18.32,18.43,18.08,18.34,17.195843,5520400
2014-01-09,18.41,18.450001,18.280001,18.299999,17.158337,4005100
2014-01-10,18.379999,18.389999,18.030001,18.18,17.045822,3943300
2014-01-13,18.02,18.27,17.780001,17.870001,16.755165,4577400
2014-01-14,17.780001,17.780001,17.15,17.49,16.398867,10833400
2014-01-15,17.559999,17.610001,17.219999,17.389999,16.305109,7357000
2014-01-16,17.370001,17.52,17.290001,17.33,16.248854,8097800
2014-01-17,17.35,17.469999,16.76,16.959999,15.901933,15311900
2014-01-21,17.02,17.09,16.690001,16.790001,15.742541,6330900
2014-01-22,16.85,16.889999,16.65,16.74,15.69566,7998700
2014-01-23,16.629999,16.75,16.549999,16.67,15.630026,7209700
2014-01-24,16.639999,16.84,16.549999,16.67,15.630026,7897200
2014-01-27,16.700001,16.889999,16.620001,16.67,15.630026,7575900
2014-01-28,16.67,16.84,16.65,16.690001,15.648777,7202500
2014-01-29,16.780001,17.049999,16.68,16.91,15.855051,8286200
2014-01-30,17.040001,17.360001,16.93,17.26,16.183218,5021500
2014-01-31,16.98,17.360001,16.92,17.129999,16.061325,8471500
2014-02-03,17.35,17.35,16.91,17.059999,15.995697,7001900
2014-02-04,17.059999,17.139999,16.799999,16.9,15.845675,5463700
2014-02-05,16.879999,16.969999,16.639999,16.889999,15.836302,5566000
2014-02-06,16.99,17.200001,16.950001,17.17,16.098829,7359100
2014-02-07,18.950001,19.950001,18.780001,19.639999,18.414738,29880800
2014-02-10,19.25,19.549999,18.950001,19.360001,18.152208,16779600
2014-02-11,19.16,19.549999,19.0,19.370001,18.161585,8944900
2014-02-12,19.49,19.690001,19.24,19.629999,18.405361,8002900
2014-02-13,19.549999,19.860001,19.48,19.77,18.536629,7971400
2014-02-14,19.42,19.93,19.299999,19.799999,18.56476,9006300
2014-02-18,19.91,20.24,19.85,19.940001,18.696022,6435400
2014-02-19,19.9,20.0,19.57,19.68,18.452246,7840400
2014-02-20,19.66,19.84,19.59,19.629999,18.405361,5095200
2014-02-21,19.75,19.92,19.700001,19.719999,18.48975,7827500
2014-02-24,19.700001,19.870001,19.629999,19.690001,18.46162,6421700
2014-02-25,19.780001,19.790001,19.370001,19.459999,18.245966,5294900
2014-02-26,19.49,19.75,19.33,19.440001,18.227215,4555400
2014-02-27,19.389999,19.709999,19.389999,19.549999,18.330353,2767300
2014-02-28,19.610001,19.639999,19.23,19.35,18.142832,4936500
2014-03-03,19.120001,19.59,19.030001,19.52,18.302227,4425400
2014-03-04,19.58,19.799999,19.58,19.709999,18.480371,6544000
2014-03-05,19.790001,20.049999,19.65,20.040001,18.789785,6588400
2014-03-06,20.059999,20.35,20.01,20.17,18.911673,4707600
2014-03-07,20.200001,20.290001,20.030001,20.110001,18.855419,5544600
2014-03-10,20.09,20.379999,20.01,20.290001,19.024191,4683700
2014-03-11,20.129999,20.190001,19.82,20.07,18.817913,5310900
2014-03-12,19.9,20.66,19.84,20.6,19.314848,7112900
2014-03-13,21.5,21.5,20.530001,20.85,19.549253,16099900
2014-03-14,20.84,21.309999,20.83,21.0,19.689894,7773000
2014-03-17,21.16,21.5,20.99,21.23,20.096945,7427900
2014-03-18,21.200001,21.35,21.049999,21.1,19.973885,5363800
2014-03-19,21.139999,21.26,20.969999,21.040001,19.917088,5942600
2014-03-20,21.030001,21.139999,20.879999,20.92,19.803492,3348800
2014-03-21,21.110001,21.23,20.68,20.780001,19.670961,7984100
2014-03-24,20.889999,20.98,20.450001,20.49,19.396441,4835400
2014-03-25,20.59,20.74,20.5,20.59,19.4911,2890200
2014-03-26,20.65,20.860001,20.5,20.59,19.4911,4620100
2014-03-27,20.9,20.9,20.059999,20.25,19.16925,6860200
2014-03-28,20.360001,20.6,20.25,20.450001,19.358578,6082000
2014-03-31,20.540001,20.629999,20.24,20.440001,19.349106,5097900
2014-04-01,20.440001,20.719999,20.299999,20.690001,19.585766,6631400
2014-04-02,20.82,21.030001,20.67,20.780001,19.670961,4703000
2014-04-03,20.91,21.02,20.200001,20.24,19.159782,9215900
2014-04-04,20.629999,20.73,19.9,20.120001,19.046183,7244300
2014-04-07,19.790001,20.08,19.27,19.43,18.393013,9802100
2014-04-08,19.530001,19.879999,19.5,19.74,18.686464,6040400
2014-04-09,19.91,19.940001,19.700001,19.84,18.781128,4550200
2014-04-10,19.799999,19.85,19.27,19.379999,18.34568,5036900
2014-04-11,19.32,19.360001,18.82,19.040001,18.023827,5339800
2014-04-14,19.18,19.299999,19.049999,19.24,18.213152,2806200
2014-04-15,19.280001,19.290001,18.85,19.07,18.052223,4516200
2014-04-16,19.25,19.49,19.129999,19.450001,18.411945,3824800
2014-04-17,19.559999,19.790001,19.34,19.690001,18.639135,4592700
2014-04-21,19.77,19.93,19.65,19.690001,18.639135,3723000
2014-04-22,19.67,19.959999,19.6,19.9,18.837927,3837200
2014-04-23,19.85,19.860001,19.559999,19.629999,18.582338,2876100
2014-04-24,19.82,19.99,19.43,19.57,18.525543,2326500
2014-04-25,19.440001,19.530001,19.25,19.459999,18.421408,2934700
2014-04-28,19.639999,19.639999,18.889999,19.33,18.298351,6142300
2014-04-29,19.389999,19.700001,19.290001,19.690001,18.639135,4191900
2014-04-30,19.59,20.040001,19.450001,20.01,18.942057,5563400
2014-05-01,19.969999,20.17,19.85,19.969999,18.904192,3004000
2014-05-02,20.27,20.309999,19.870001,19.940001,18.875792,5981000
2014-05-05,19.889999,19.9,19.33,19.42,18.383543,8977300
2014-05-06,19.440001,19.49,19.120001,19.309999,18.279415,8440300
2014-05-07,20.17,21.059999,20.059999,21.01,19.888687,20043000
2014-05-08,20.700001,21.309999,20.639999,20.799999,19.689892,8513500
2014-05-09,20.67,20.82,20.559999,20.790001,19.680426,6971000
2014-05-12,20.84,20.950001,20.6,20.67,19.566833,4426800
2014-05-13,20.67,20.700001,20.27,20.5,19.405905,5359700
2014-05-14,20.41,20.48,20.219999,20.280001,19.197647,3027500
2014-05-15,20.309999,20.309999,19.870001,20.08,19.00832,4856400
2014-05-16,20.120001,20.4,19.969999,20.35,19.263914,4270000
2014-05-19,20.309999,20.99,20.280001,20.780001,19.670961,7054200
2014-05-20,20.629999,20.91,20.620001,20.83,19.718294,5046200
2014-05-21,20.809999,20.889999,20.629999,20.870001,19.756161,5643000
2014-05-22,20.93,21.0,20.5,20.530001,19.434305,18897500
2014-05-23,20.610001,20.700001,20.389999,20.68,19.576302,5982300
2014-05-27,20.700001,20.77,20.5,20.58,19.481636,6048100
2014-05-28,20.57,20.620001,20.32,20.33,19.24498,8307900
2014-05-29,20.57,20.809999,20.43,20.75,19.642563,10602400
2014-05-30,20.809999,20.83,20.51,20.780001,19.670961,10297200
2014-06-02,20.82,20.82,20.52,20.620001,19.519505,3490900
2014-06-03,20.52,20.780001,20.51,20.75,19.642563,7689700
2014-06-04,20.73,20.85,20.709999,20.73,19.623632,4943000
2014-06-05,20.799999,20.809999,20.360001,20.709999,19.604696,4871500
2014-06-06,20.940001,21.0,20.74,20.92,19.803492,6182900
2014-06-09,20.969999,21.35,20.9,21.290001,20.153744,11098700
2014-06-10,21.25,21.48,21.200001,21.450001,20.305202,8125200
