Date,Open,High,Low,Close,Adj Close,Volume
2014-01-02,14.0,14.08,13.92,14.01,14.01,3118200
2014-01-03,14.45,14.45,14.16,14.17,14.17,4180700
2014-01-06,14.15,14.35,14.09,14.27,14.27,2557000
2014-01-07,14.28,14.38,14.19,14.34,14.34,2169300
2014-01-08,14.28,14.5,14.14,14.42,14.42,3487500
2014-01-09,14.46,14.47,14.22,14.32,14.32,1849000
2014-01-10,14.35,14.5,14.27,14.49,14.49,1824700
2014-01-13,14.48,14.48,14.23,14.27,14.27,1771300
2014-01-14,14.27,14.52,14.27,14.46,14.46,1553300
2014-01-15,14.48,14.89,14.39,14.83,14.83,5554400
2014-01-16,14.82,14.82,14.39,14.46,14.46,2473200
2014-01-17,14.42,14.51,14.33,14.47,14.47,1473500
2014-01-21,14.53,14.63,14.4,14.55,14.55,1655200
2014-01-22,14.59,14.59,14.29,14.3,14.3,2329400
2014-01-23,14.23,14.27,13.98,14.09,14.09,4513200
2014-01-24,14.25,14.38,14.08,14.16,14.16,6080300
2014-01-27,14.17,14.33,13.73,14.0,14.0,6328500
2014-01-28,14.0,14.12,13.89,14.01,14.01,3284200
2014-01-29,13.95,14.14,13.85,14.08,14.08,3633000
2014-01-30,14.32,14.65,14.03,14.3,14.3,3386000
2014-01-31,14.05,14.43,14.05,14.12,14.12,3552500
2014-02-03,14.06,14.17,13.72,13.76,13.76,5546300
2014-02-04,13.77,13.95,13.67,13.81,13.81,2812000
2014-02-05,13.84,13.9,13.59,13.74,13.74,2446900
2014-02-06,13.66,13.84,13.65,13.73,13.73,2862800
2014-02-07,13.82,14.08,13.68,14.01,14.01,3792800
2014-02-10,13.96,14.39,13.95,14.23,14.23,3819400
2014-02-11,14.24,14.49,14.19,14.42,14.42,2378200
2014-02-12,14.41,14.75,14.41,14.58,14.58,3273900
2014-02-13,14.5,14.62,14.46,14.57,14.57,1788000
2014-02-14,14.58,14.72,14.5,14.68,14.68,2295500
2014-02-18,14.7,14.75,14.61,14.69,14.69,1734200
2014-02-19,14.51,14.88,14.51,14.77,14.77,2953900
2014-02-20,14.77,14.96,14.65,14.94,14.94,3889000
2014-02-21,14.93,15.2,14.84,15.14,15.14,4957400
2014-02-24,15.09,15.29,15.07,15.14,15.14,2776300
2014-02-25,15.1,15.24,14.81,15.1,15.1,2603300
2014-02-26,15.08,15.25,14.94,15.24,15.24,3528300
2014-02-27,15.23,15.38,15.14,15.35,15.35,1934100
2014-02-28,15.39,15.46,15.24,15.33,15.33,2311600
2014-03-03,15.17,15.39,15.0,15.3,15.3,2043200
2014-03-04,15.4,15.59,15.24,15.52,15.52,2171900
2014-03-05,15.5,15.5,15.35,15.45,15.45,1445200
2014-03-06,15.93,16.02,15.44,15.96,15.96,6533100
2014-03-07,15.97,16.07,15.85,15.91,15.91,5214100
2014-03-10,15.84,15.97,15.7,15.81,15.81,3956500
2014-03-11,15.83,15.92,15.53,15.61,15.61,2170400
2014-03-12,15.53,15.6,15.36,15.52,15.52,2540800
2014-03-13,15.52,15.58,15.24,15.38,15.38,2341400
2014-03-14,15.32,15.47,15.15,15.27,15.27,1768200
2014-03-17,15.47,15.72,15.39,15.58,15.58,2401800
2014-03-18,15.58,15.77,15.51,15.7,15.7,1071400
2014-03-19,15.75,15.76,15.59,15.64,15.64,1889700
2014-03-20,15.58,15.74,15.51,15.74,15.74,2314400
2014-03-21,15.78,16.200001,15.68,16.120001,16.120001,9197800
2014-03-24,16.200001,16.25,15.77,15.9,15.9,3657100
2014-03-25,15.93,16.040001,15.56,15.58,15.58,3948100
2014-03-26,15.62,15.7,15.28,15.35,15.35,4195700
2014-03-27,15.35,15.49,15.05,15.07,15.07,5289200
2014-03-28,15.18,15.48,15.02,15.4,15.4,3340200
2014-03-31,15.45,15.62,15.37,15.54,15.54,2781300
2014-04-01,15.6,15.71,15.42,15.49,15.49,2306400
2014-04-02,15.54,15.59,15.28,15.4,15.4,2346700
2014-04-03,15.4,15.5,15.19,15.19,15.19,2754000
2014-04-04,15.34,15.34,14.78,14.84,14.84,4471400
2014-04-07,14.65,14.85,14.56,14.71,14.71,3426700
2014-04-08,14.72,14.92,14.5,14.91,14.91,3748000
2014-04-09,14.9,15.03,14.79,14.96,14.96,1403700
2014-04-10,14.94,14.96,14.67,14.72,14.72,2048500
2014-04-11,14.59,14.68,14.44,14.53,14.53,2369100
2014-04-14,14.59,14.67,14.44,14.52,14.52,2652900
2014-04-15,14.59,14.73,14.42,14.67,14.67,2212400
2014-04-16,14.77,14.85,14.44,14.72,14.72,3770400
2014-04-17,14.77,14.91,14.63,14.86,14.86,1918700
2014-04-21,14.86,15.05,14.79,14.84,14.84,2936000
2014-04-22,14.03,14.92,13.63,14.8,14.8,10548700
2014-04-23,14.79,14.9,14.6,14.88,14.88,7363500
2014-04-24,14.9,15.07,14.77,15.05,15.05,3952200
2014-04-25,15.01,15.07,14.75,14.85,14.85,3884700
2014-04-28,14.89,14.97,14.62,14.81,14.81,3768600
2014-04-29,14.9,15.6,14.9,15.46,15.46,9013500
2014-04-30,15.43,15.69,15.29,15.56,15.56,5076200
2014-05-01,15.6,15.68,15.45,15.51,15.51,3198700
2014-05-02,15.5,15.7,15.44,15.55,15.55,2607400
2014-05-05,15.43,15.66,15.4,15.58,15.58,2875800
2014-05-06,15.54,15.64,15.48,15.59,15.59,3615800
2014-05-07,15.54,15.65,15.47,15.64,15.64,3504400
2014-05-08,15.65,15.91,15.52,15.53,15.53,4413400
2014-05-09,15.53,15.64,15.33,15.48,15.48,1836000
2014-05-12,15.51,15.8,15.44,15.77,15.77,1546000
2014-05-13,15.77,15.84,15.69,15.74,15.74,2183600
2014-05-14,15.69,15.72,15.49,15.56,15.56,2425400
2014-05-15,15.41,15.67,15.37,15.55,15.55,3249000
2014-05-16,15.61,15.71,15.48,15.7,15.7,2149900
2014-05-19,15.6,15.96,15.55,15.86,15.86,2083800
2014-05-20,15.87,16.49,15.69,16.290001,16.290001,10860900
2014-05-21,16.299999,16.620001,16.299999,16.540001,16.540001,4403100
2014-05-22,16.540001,16.85,16.51,16.76,16.76,3094900
2014-05-23,16.719999,16.940001,16.620001,16.940001,16.940001,2717900
2014-05-27,16.889999,17.17,16.75,16.92,16.92,4325800
2014-05-28,16.9,16.969999,16.74,16.870001,16.870001,2864100
2014-05-29,16.940001,16.99,16.77,16.799999,16.799999,2204400
2014-05-30,16.82,16.879999,16.58,16.690001,16.690001,2716700
2014-06-02,16.709999,16.74,16.41,16.57,16.57,4875600
2014-06-03,16.559999,16.629999,16.35,16.440001,16.440001,3820100
2014-06-04,16.43,16.690001,16.360001,16.5,16.5,2707400
2014-06-05,16.530001,16.620001,16.43,16.57,16.57,5941700
2014-06-06,16.610001,17.15,16.559999,17.059999,17.059999,5295900
2014-06-09,16.99,17.24,16.99,17.049999,17.049999,3317600
2014-06-10,17.0,17.139999,16.969999,17.049999,17.049999,1646100
2014-06-11,17.02,17.1,16.969999,17.040001,17.040001,1753700
2014-06-12,16.99,17.07,16.68,16.73,16.73,2988300
2014-06-13,16.809999,16.959999,16.809999,16.879999,16.879999,2667100
2014-06-16,16.83,16.950001,16.75,16.809999,16.809999,3316700
2014-06-17,16.780001,17.0,16.629999,16.93,16.93,4342000
2014-06-18,17.0,17.08,16.75,16.9,16.9,3017100
2014-06-19,16.879999,16.99,16.780001,16.889999,16.889999,2033300
2014-06-20,16.969999,17.17,16.84,17.120001,17.120001,6000200
2014-06-23,17.08,17.43,17.049999,17.379999,17.379999,3261200
2014-06-24,17.370001,17.440001,17.09,17.129999,17.129999,3671200
2014-06-25,17.059999,17.43,16.91,17.41,17.41,4630300
2014-06-26,17.370001,17.42,17.309999,17.389999,17.389999,2234700
2014-06-27,17.360001,17.549999,17.280001,17.34,17.34,2374500
2014-06-30,17.309999,17.5,17.299999,17.49,17.49,2393700
2014-07-01,17.549999,17.629999,17.450001,17.559999,17.559999,2748900
2014-07-02,17.5,17.6,17.379999,17.43,17.43,1595400
2014-07-03,17.52,17.58,17.450001,17.559999,17.559999,1067200
2014-07-07,17.51,17.66,17.450001,17.48,17.48,1706600
2014-07-08,17.49,17.49,16.84,17.219999,17.219999,4453000
2014-07-09,17.280001,17.35,17.030001,17.110001,17.110001,2300200
2014-07-10,16.959999,17.24,16.82,17.08,17.08,2778100
2014-07-11,17.049999,17.139999,16.9,17.07,17.07,1950200
2014-07-14,17.190001,17.309999,17.120001,17.299999,17.299999,2407800
2014-07-15,17.280001,17.469999,17.209999,17.360001,17.360001,2879700
2014-07-16,17.41,17.66,17.23,17.48,17.48,3769100
2014-07-17,17.41,17.5,17.290001,17.299999,17.299999,3770300
2014-07-18,17.34,17.51,17.23,17.24,17.24,4714800
2014-07-21,17.139999,17.58,17.110001,17.5,17.5,4708400
2014-07-22,16.26,17.32,16.25,17.030001,17.030001,11177800
2014-07-23,16.969999,17.02,16.799999,16.93,16.93,2751800
2014-07-24,17.27,17.27,16.93,17.07,17.07,2976500
2014-07-25,17.23,17.27,16.84,16.879999,16.879999,2278300
2014-07-28,16.84,16.959999,16.709999,16.93,16.93,2382300
2014-07-29,16.92,17.110001,16.82,16.82,16.82,3519500
2014-07-30,16.889999,17.07,16.639999,17.049999,17.049999,4514500
2014-07-31,16.940001,17.049999,16.73,16.83,16.83,2524900
2014-08-01,16.77,17.110001,16.6,17.08,17.08,4887100
2014-08-04,17.07,17.32,16.950001,17.25,17.25,3181100
2014-08-05,17.209999,17.309999,17.040001,17.200001,17.200001,3013400
2014-08-06,17.129999,17.27,17.08,17.16,17.16,4044400
2014-08-07,17.209999,17.26,16.809999,16.91,16.91,3873300
2014-08-08,16.9,16.950001,16.67,16.809999,16.809999,2756000
2014-08-11,16.870001,16.950001,16.67,16.9,16.9,3211800
2014-08-12,16.879999,16.92,16.790001,16.91,16.91,3708500
2014-08-13,16.940001,17.1,16.85,16.860001,16.860001,3984600
2014-08-14,16.879999,16.98,16.84,16.93,16.93,1852900
2014-08-15,17.059999,17.15,16.799999,16.969999,16.969999,1840600
2014-08-18,17.02,17.27,17.02,17.24,17.24,1455300
2014-08-19,17.190001,17.440001,17.190001,17.389999,17.389999,2343900
2014-08-20,17.360001,17.42,17.15,17.24,17.24,2260000
2014-08-21,17.620001,17.879999,17.139999,17.700001,17.700001,4063800
2014-08-22,17.700001,17.870001,17.629999,17.639999,17.639999,2778100
2014-08-25,17.68,17.719999,17.540001,17.559999,17.559999,1087600
2014-08-26,17.530001,17.57,17.35,17.51,17.51,1564300
2014-08-27,17.459999,17.549999,17.360001,17.469999,17.469999,1376200
2014-08-28,17.41,17.540001,17.370001,17.469999,17.469999,1779000
2014-08-29,17.540001,17.66,17.389999,17.629999,17.629999,1205000
2014-09-02,17.610001,17.99,17.51,17.790001,17.790001,2774000
2014-09-03,17.799999,17.98,17.76,17.91,17.91,2682500
2014-09-04,18.0,18.25,17.889999,18.059999,18.059999,2777100
2014-09-05,18.040001,18.219999,17.99,18.08,18.08,1696700
2014-09-08,17.99,18.09,17.85,17.950001,17.950001,2502300
2014-09-09,17.889999,18.129999,17.860001,17.889999,17.889999,3006600
2014-09-10,17.870001,18.110001,17.860001,18.02,18.02,1444400
2014-09-11,17.959999,18.110001,17.93,18.0,18.0,1443400
2014-09-12,17.959999,18.02,17.799999,17.82,17.82,1998500
2014-09-15,17.82,17.82,17.540001,17.58,17.58,1514200
2014-09-16,17.51,17.799999,17.49,17.700001,17.700001,2447000
2014-09-17,17.719999,17.93,17.690001,17.700001,17.700001,2467300
2014-09-18,17.780001,17.93,17.719999,17.82,17.82,1686500
