Date,Open,High,Low,Close,Adj Close,Volume
2014-01-02,25.9,25.950001,25.635,25.725,21.357922,19522400
2014-01-03,25.815001,25.855,25.424999,25.535,21.200171,13371400
2014-01-06,25.565001,25.809999,25.334999,25.51,21.179415,17987800
2014-01-07,25.67,26.6,25.555,26.415001,21.930782,37161400
2014-01-08,26.344999,26.725,26.26,26.375,21.897572,29731600
2014-01-09,26.450001,26.584999,26.155001,26.440001,21.951544,20919200
2014-01-10,26.51,26.860001,26.290001,26.77,22.225515,21307600
2014-01-13,26.754999,26.844999,26.0,26.08,21.652649,23041800
2014-01-14,26.264999,26.424999,25.99,26.405001,21.922478,17588800
2014-01-15,26.625,27.325001,26.584999,27.035,22.44553,29155000
2014-01-16,27.035,27.15,26.615,26.77,22.225515,20263000
2014-01-17,26.66,26.83,26.540001,26.77,22.225515,24300800
2014-01-21,27.025,27.155001,26.530001,26.655001,22.130039,17160200
2014-01-22,26.635,26.889999,26.5,26.870001,22.30854,16374800
2014-01-23,26.615,26.790001,26.415001,26.540001,22.034557,18490600
2014-01-24,26.360001,26.440001,26.09,26.200001,21.752281,28670400
2014-01-27,26.254999,26.934999,25.924999,26.245001,21.789639,37906400
2014-01-28,27.0,27.065001,26.405001,26.674999,22.146641,33004600
2014-01-29,26.639999,26.73,26.254999,26.530001,22.026258,30432000
2014-01-30,26.655001,27.174999,26.49,27.094999,22.495346,28997600
2014-01-31,26.445,27.35,26.445,27.225,22.603277,32120400
2014-02-03,27.370001,27.48,26.264999,26.385,21.905876,38305400
2014-02-04,26.459999,26.799999,26.094999,26.76,22.217209,28050200
2014-02-05,26.549999,26.83,26.415001,26.690001,22.159098,18229000
2014-02-06,26.870001,27.075001,26.700001,27.014999,22.428926,15802000
2014-02-07,27.190001,27.415001,27.094999,27.32,22.682144,19533200
2014-02-10,27.385,27.385,27.105,27.174999,22.561768,13889200
2014-02-11,27.155001,27.525,27.139999,27.5,22.831587,15863800
2014-02-12,27.615,27.639999,27.514999,27.620001,22.931219,16028000
2014-02-13,26.76,27.145,26.385,26.485001,21.988892,166539600
2014-02-14,26.504999,27.055,26.5,26.85,22.291939,71649800
2014-02-18,26.98,26.985001,26.594999,26.764999,22.221365,40541400
2014-02-19,26.635,26.684999,25.605,25.785,21.40773,80405600
2014-02-20,25.889999,26.07,25.665001,25.879999,21.486601,51477200
2014-02-21,26.030001,26.030001,25.5,25.525,21.191868,48104800
2014-02-24,25.860001,25.93,25.565001,25.575001,21.233381,32759800
2014-02-25,25.629999,25.73,25.094999,25.385,21.075634,40828000
2014-02-26,25.459999,25.459999,25.1,25.34,21.038269,30516400
2014-02-27,25.325001,25.684999,25.25,25.540001,21.204319,35472600
2014-02-28,25.65,26.040001,25.559999,25.844999,21.457542,38390000
2014-03-03,25.540001,25.635,25.305,25.5,21.17111,33500800
2014-03-04,25.700001,25.795,25.615,25.68,21.320555,25819600
2014-03-05,25.684999,26.129999,25.565001,25.945,21.540571,33179800
2014-03-06,26.059999,26.16,25.915001,26.055,21.631895,25728400
2014-03-07,26.16,26.184999,25.719999,25.815001,21.43264,25983400
2014-03-10,25.834999,25.945,25.655001,25.76,21.386974,19885000
2014-03-11,25.855,25.879999,25.5,25.610001,21.262434,23851600
2014-03-12,25.5,25.594999,25.305,25.49,21.162807,22211000
2014-03-13,25.555,25.594999,25.084999,25.23,20.946947,30253200
2014-03-14,25.16,25.395,25.09,25.32,21.021667,31716000
2014-03-17,25.49,25.495001,25.305,25.389999,21.079782,25698000
2014-03-18,25.365,25.365,24.985001,25.110001,20.847315,32672400
2014-03-19,25.105,25.145,24.75,24.940001,20.706181,42753800
2014-03-20,25.0,25.475,24.950001,25.305,21.009211,30960200
2014-03-21,25.344999,25.655001,24.955,25.0,20.755993,47988600
2014-03-24,25.125,25.25,24.665001,25.15,20.880524,36854000
2014-03-25,25.174999,25.245001,24.695,24.834999,20.619003,36882000
2014-03-26,24.870001,25.18,24.785,24.809999,20.598244,38860400
2014-03-27,24.705,24.795,24.5,24.549999,20.382381,25188400
2014-03-28,24.695,24.92,24.504999,24.780001,20.573338,31930800
2014-03-31,24.92,25.195,24.889999,25.02,20.867334,34758200
2014-04-01,25.17,25.190001,24.815001,24.965,20.821455,27944000
2014-04-02,25.01,25.485001,25.01,25.450001,21.225964,31894400
2014-04-03,25.379999,25.655001,25.365,25.559999,21.317711,28816400
2014-04-04,25.59,25.805,25.084999,25.09,20.925713,36551000
2014-04-07,25.055,25.105,24.32,24.540001,20.467005,43991200
2014-04-08,24.594999,24.594999,24.135,24.424999,20.371094,47068600
2014-04-09,24.389999,24.945,24.334999,24.895,20.763081,40873600
2014-04-10,24.84,24.965,24.195,24.209999,20.191769,38223400
2014-04-11,24.084999,24.35,23.955,23.98,19.999949,34034400
2014-04-14,24.1,24.42,24.049999,24.33,20.291849,32360000
2014-04-15,24.375,24.475,23.870001,24.205,20.187601,35995400
2014-04-16,24.375,24.610001,24.245001,24.584999,20.504526,41936800
2014-04-17,24.48,24.75,24.375,24.549999,20.47534,30275600
2014-04-21,24.695,24.945,24.66,24.940001,20.800611,31705600
2014-04-22,25.295,25.809999,25.25,25.415001,21.196774,73147600
2014-04-23,25.485001,25.709999,25.370001,25.605,21.355236,33427600
2014-04-24,25.674999,25.965,25.565001,25.684999,21.421963,33769200
2014-04-25,25.629999,25.700001,25.434999,25.485001,21.255154,32738400
2014-04-28,25.764999,25.905001,25.385,25.85,21.559572,43184000
2014-04-29,26.0,26.0,25.610001,25.775,21.497025,34263800
2014-04-30,25.764999,25.995001,25.66,25.879999,21.584597,30431600
2014-05-01,25.91,26.055,25.860001,26.055,21.730549,26996400
2014-05-02,26.209999,26.209999,25.84,26.014999,21.697186,26765400
2014-05-05,25.915001,26.24,25.865,26.23,21.876495,27093400
2014-05-06,26.049999,26.165001,25.799999,25.905001,21.605444,32064200
2014-05-07,26.014999,26.094999,25.645,25.870001,21.576258,28597600
2014-05-08,25.825001,25.879999,25.389999,25.549999,21.309366,37924600
2014-05-09,25.535,25.565001,25.045,25.5,21.267662,30732800
2014-05-12,25.555,25.605,25.235001,25.325001,21.12171,29710600
2014-05-13,25.424999,25.434999,25.014999,25.055,20.896524,50113200
2014-05-14,25.084999,25.125,24.84,24.915001,20.779762,31636000
2014-05-15,24.895,25.174999,24.58,25.155001,20.979931,33025400
2014-05-16,25.110001,25.155001,24.92,25.094999,20.929884,25461800
2014-05-19,25.120001,25.469999,24.889999,25.450001,21.225964,28002800
2014-05-20,25.395,25.469999,25.219999,25.325001,21.12171,24990000
2014-05-21,25.299999,25.690001,25.264999,25.674999,21.413618,25162400
2014-05-22,25.635,25.995001,25.620001,25.85,21.559572,22344800
2014-05-23,25.934999,26.059999,25.889999,25.985001,21.672167,18252000
2014-05-27,26.035,26.139999,25.924999,26.030001,21.709703,18778800
2014-05-28,26.084999,26.084999,25.785,25.924999,21.622126,17307200
2014-05-29,26.030001,26.09,25.889999,26.035,21.713869,18987200
2014-05-30,26.09,26.145,25.92,26.1,21.768082,21663600
2014-06-02,26.055,26.379999,26.040001,26.280001,21.918213,20537000
2014-06-03,26.18,26.24,26.125,26.16,21.818121,15600000
2014-06-04,26.139999,26.205,25.969999,26.145,21.805611,27464800
2014-06-05,26.219999,26.385,26.045,26.355,21.980759,14681000
2014-06-06,26.459999,26.5,26.195,26.455,22.064161,18442000
2014-06-09,26.379999,26.610001,26.360001,26.475,22.080839,23375800
2014-06-10,26.475,26.535,26.26,26.440001,22.051649,20496200
2014-06-11,26.290001,26.395,26.27,26.355,21.980759,20246800
2014-06-12,26.25,26.395,26.205,26.334999,21.964079,19549400
2014-06-13,26.325001,26.375,26.15,26.235001,21.880678,19548000
2014-06-16,26.190001,26.24,26.055,26.174999,21.830633,14121200
2014-06-17,26.139999,26.174999,26.0,26.1,21.768082,15988200
2014-06-18,26.135,26.385,25.995001,26.33,21.959906,19601800
2014-06-19,26.325001,26.48,26.25,26.469999,22.076664,18794200
2014-06-20,26.635,26.635,26.299999,26.370001,21.993269,34834600
2014-06-23,26.385,26.385,26.18,26.215,21.863995,15939800
2014-06-24,26.219999,26.5,26.120001,26.32,21.951572,23433800
2014-06-25,26.33,26.674999,26.23,26.605,22.189268,26891600
2014-06-26,26.59,26.82,26.525,26.799999,22.351896,18776200
2014-06-27,26.84,27.129999,26.764999,27.065001,22.572916,32415800
2014-06-30,26.950001,26.950001,26.785,26.84,22.478701,31397800
2014-07-01,26.93,27.17,26.844999,27.055,22.658762,22481400
2014-07-02,27.1,27.299999,27.02,27.280001,22.847202,18373800
2014-07-03,27.370001,27.485001,27.254999,27.450001,22.98958,15269800
2014-07-07,27.275,27.375,26.93,27.09,22.688072,22482800
2014-07-08,26.959999,27.110001,26.625,26.655001,22.323759,29228400
2014-07-09,26.780001,27.370001,26.705,27.365,22.918388,31708000
2014-07-10,27.16,27.389999,27.040001,27.18,22.763451,20308600
2014-07-11,27.155001,27.32,27.084999,27.275,22.843008,14109000
2014-07-14,27.395,27.625,27.184999,27.525,23.052387,27396400
2014-07-15,27.43,27.584999,27.295,27.445,22.985392,19715400
2014-07-16,27.555,27.764999,27.440001,27.525,23.052387,37157800
2014-07-17,27.264999,27.58,27.049999,27.1,22.696447,30709000
2014-07-18,27.370001,27.370001,27.110001,27.27,22.838827,23198000
2014-07-21,27.059999,27.23,26.75,26.91,22.537321,35370000
2014-07-22,27.375,27.620001,27.110001,27.315001,22.876518,31778200
2014-07-23,27.264999,27.5,27.125,27.355,22.910013,26711800
2014-07-24,27.48,27.625,27.355,27.565001,23.085888,26207600
2014-07-25,27.57,27.605,27.115,27.195,22.776011,19935400
2014-07-28,27.26,27.41,27.045,27.365,22.918388,17571600
2014-07-29,27.645,28.245001,27.469999,27.495001,23.027266,36491800
2014-07-30,27.594999,27.725,27.459999,27.705,23.203142,25923000
2014-07-31,27.495001,27.525,26.815001,26.865,22.499632,30526800
2014-08-01,26.77,26.940001,26.575001,26.695,22.357256,19903400
2014-08-04,26.700001,27.040001,26.700001,26.924999,22.549879,21853200
2014-08-05,26.93,26.93,26.455,26.59,22.269325,27339000
2014-08-06,26.485001,26.700001,26.395,26.450001,22.152073,20069000
2014-08-07,26.555,26.594999,26.26,26.34,22.059946,23479200
2014-08-08,26.344999,26.780001,26.344999,26.75,22.403324,23684600
2014-08-11,26.790001,27.09,26.77,26.875,22.508013,15617000
2014-08-12,26.795,27.065001,26.795,26.9,22.528946,16614800
2014-08-13,27.045,27.184999,26.959999,27.055,22.658762,18251800
2014-08-14,27.094999,27.209999,27.040001,27.184999,22.76763,13077200
2014-08-15,27.4,27.445,27.075001,27.315001,22.876518,21415200
2014-08-18,27.485001,27.549999,27.24,27.365,22.918388,15186400
2014-08-19,27.344999,27.445,27.205,27.25,22.822069,14694200
2014-08-20,27.155001,27.395,27.155001,27.32,22.880699,14677400
2014-08-21,27.32,27.415001,27.174999,27.219999,22.796946,14949200
2014-08-22,27.135,27.295,26.959999,27.09,22.688072,16289200
2014-08-25,27.174999,27.365,27.1,27.325001,22.884888,18832400
2014-08-26,27.375,27.375,27.165001,27.280001,22.847202,18480200
2014-08-27,27.344999,27.450001,27.18,27.280001,22.847202,16269400
2014-08-28,27.16,27.33,27.139999,27.26,22.830452,11142200
2014-08-29,27.440001,27.465,27.215,27.360001,22.9142,13517200
2014-09-02,27.355,27.485001,27.174999,27.389999,22.939323,19070200
2014-09-03,27.370001,27.525,27.309999,27.434999,22.977016,17900200
2014-09-04,27.620001,27.695,27.415001,27.440001,22.981207,26368800
2014-09-05,27.5,27.895,27.434999,27.85,23.324579,28405400
2014-09-08,27.754999,28.0,27.709999,27.940001,23.399952,23610800
2014-09-09,27.870001,28.385,27.82,28.305,23.705637,40113000
2014-09-10,28.27,28.525,28.02,28.455,23.831274,27078000
2014-09-11,28.434999,28.565001,28.280001,28.49,23.860584,19394000
2014-09-12,28.450001,28.57,28.334999,28.540001,23.902458,22575600
2014-09-15,28.58,28.745001,28.440001,28.51,23.877335,26096200
2014-09-16,28.530001,28.635,28.389999,28.615,23.965273,18240800
2014-09-17,28.620001,28.684999,28.405001,28.545,23.906635,20101800
2014-09-18,28.549999,28.68,28.365,28.424999,23.806147,29141200
2014-09-19,28.629999,28.635,28.25,28.370001,23.760082,41755200
2014-09-22,28.275,28.344999,27.695,27.93,23.391577,29860000
2014-09-23,27.995001,27.995001,27.475,27.485001,23.018885,26622000
2014-09-24,27.565001,27.57,27.07,27.43,22.972824,32200200
2014-09-25,27.41,27.42,26.879999,26.969999,22.58757,27724200
2014-09-26,26.889999,27.139999,26.844999,27.120001,22.713203,21072400
2014-09-29,26.834999,27.165001,26.705,27.08,22.77417,24694600
2014-09-30,27.115,27.245001,26.84,26.889999,22.614376,29437000
2014-10-01,26.844999,26.865,26.375,26.465,22.256958,31960000
2014-10-02,26.415001,26.485001,25.82,26.42,22.219112,36106400
2014-10-03,26.440001,27.02,26.440001,26.825001,22.559715,29002800
2014-10-06,26.870001,26.950001,26.625,26.695,22.450392,16436600
2014-10-07,26.59,26.76,26.315001,26.610001,22.378904,24809000
2014-10-08,26.695,27.605,26.565001,27.385,23.030674,45371600
2014-10-09,27.385,27.389999,26.645,26.66,22.42095,37937000
2014-10-10,26.715,26.93,26.295,26.309999,22.126604,55154800
2014-10-13,26.165001,26.514999,25.785,25.82,21.714512,44243400
2014-10-14,26.025,26.174999,25.68,25.735001,21.643026,53808600
2014-10-15,25.379999,25.639999,24.665001,25.424999,21.38232,82495000
2014-10-16,25.049999,25.129999,24.764999,24.795,20.852499,89564800
2014-10-17,24.99,25.75,24.99,25.34,21.310839,58475800
2014-10-20,25.34,25.73,25.115,25.65,21.571548,28391000
2014-10-21,25.84,26.389999,25.809999,26.094999,21.945787,56237000
2014-10-22,26.094999,26.299999,25.674999,25.745001,21.651438,44764200
2014-10-23,26.09,26.76,25.955,26.610001,22.378904,43760400
2014-10-24,26.844999,27.334999,26.715,27.129999,22.816219,44809800
2014-10-27,27.105,27.27,26.91,27.025,22.727917,26566400
2014-10-28,27.075001,27.525,27.075001,27.365,23.013853,29059200
2014-10-29,27.295,27.465,27.174999,27.450001,23.085344,33287400
