Date,Open,High,Low,Close,Adj Close,Volume
2014-01-02,9.536667,9.556667,9.396667,9.416667,8.090324,13439700
2014-01-03,9.423333,9.593333,9.42,9.476667,8.141873,13897500
2014-01-06,9.52,9.58,9.36,9.406667,8.081731,15219600
2014-01-07,9.433333,9.476667,9.4,9.45,8.118963,11527500
2014-01-08,9.423333,9.47,9.35,9.41,8.084595,15072000
2014-01-09,9.433333,9.56,9.406667,9.553333,8.207743,13743900
2014-01-10,9.586667,9.646667,9.543333,9.626667,8.270744,13728600
2014-01-13,9.61,9.66,9.443333,9.476667,8.141873,20569500
2014-01-14,9.54,9.66,9.47,9.626667,8.270744,24035100
2014-01-15,9.646667,9.75,9.61,9.743333,8.37098,36123900
2014-01-16,9.153333,9.17,8.92,9.08,7.801078,82080000
2014-01-17,9.13,9.13,9.02,9.076667,7.798213,35177700
2014-01-21,9.116667,9.173333,8.97,9.013333,7.743802,28709400
2014-01-22,9.066667,9.126667,9.053333,9.073333,7.79535,23527500
2014-01-23,9.056667,9.106667,8.96,9.006667,7.738074,25808700
2014-01-24,8.913333,8.946667,8.73,8.733333,7.503238,28118700
2014-01-27,8.696667,8.79,8.63,8.713333,7.486055,22274100
2014-01-28,8.733333,8.9,8.733333,8.84,7.594882,14726400
2014-01-29,8.73,8.793333,8.673333,8.71,7.483191,21857100
2014-01-30,8.803333,8.956667,8.793333,8.923333,7.666478,16594500
2014-01-31,8.803333,9.02,8.756667,8.97,7.706572,22281300
2014-02-03,8.976667,9.02,8.613333,8.673333,7.45169,28647000
2014-02-04,8.693333,8.846667,8.666667,8.783333,7.546196,26089800
2014-02-05,8.756667,8.853333,8.73,8.836667,7.592018,20205900
2014-02-06,8.88,9.023333,8.866667,9.01,7.74094,15773700
2014-02-07,9.06,9.15,9.006667,9.083333,7.803942,17080800
2014-02-10,9.063333,9.073333,8.966667,9.023333,7.752392,13931700
2014-02-11,9.056667,9.146667,9.046667,9.103333,7.821126,12549300
2014-02-12,9.126667,9.183333,9.076667,9.13,7.844038,14018700
2014-02-13,9.063333,9.123333,9.013333,9.123333,7.838309,16610100
2014-02-14,9.103333,9.196667,9.093333,9.176667,7.88413,17434500
2014-02-18,9.173333,9.18,9.056667,9.136667,7.849763,13071900
2014-02-19,9.096667,9.196667,9.02,9.03,7.75812,22691400
2014-02-20,9.056667,9.133333,9.02,9.116667,7.832581,25436400
2014-02-21,9.143333,9.206667,9.103333,9.106667,7.823989,16809900
2014-02-24,9.11,9.283333,9.11,9.23,7.929948,19576800
2014-02-25,9.22,9.24,9.083333,9.103333,7.821126,20163300
2014-02-26,9.093333,9.183333,9.05,9.07,7.835523,16743300
2014-02-27,9.05,9.163333,9.026667,9.153333,7.907515,15349500
2014-02-28,9.163333,9.323333,9.163333,9.236667,7.979504,17991900
2014-03-03,9.173333,9.25,9.116667,9.2,7.947829,17228400
2014-03-04,9.32,9.466667,9.313333,9.433333,8.149404,21824700
2014-03-05,9.48,9.553333,9.446667,9.513333,8.218517,18241800
2014-03-06,9.536667,9.623333,9.523333,9.576667,8.273232,14980500
2014-03-07,9.673333,9.7,9.593333,9.623333,8.313546,16155300
2014-03-10,9.626667,9.656667,9.53,9.63,8.319304,16714500
2014-03-11,9.66,9.686667,9.56,9.613333,8.304905,18387600
2014-03-12,9.546667,9.63,9.47,9.63,8.319304,30820500
2014-03-13,9.666667,9.73,9.433333,9.486667,8.195478,27000600
2014-03-14,9.516667,9.523333,9.42,9.46,8.172442,16022400
2014-03-17,9.523333,9.62,9.493333,9.543333,8.244433,11649600
2014-03-18,9.563333,9.613333,9.55,9.58,8.27611,9576000
2014-03-19,9.593333,9.646667,9.476667,9.516667,8.221395,14943600
2014-03-20,9.493333,9.616667,9.483333,9.543333,8.244433,12165900
2014-03-21,9.653333,9.703333,9.573333,9.586667,8.281869,16802100
2014-03-24,9.623333,9.683333,9.493333,9.563333,8.261711,17719800
2014-03-25,9.816667,9.816667,9.66,9.69,8.371134,21999300
2014-03-26,9.726667,9.74,9.55,9.55,8.250193,16215900
2014-03-27,9.54,9.576667,9.413333,9.423333,8.140768,18337500
2014-03-28,9.463333,9.563333,9.46,9.526667,8.230036,11892900
2014-03-31,9.576667,9.693333,9.55,9.656667,8.342343,13233000
2014-04-01,9.69,9.723333,9.626667,9.706667,8.385538,12815700
2014-04-02,9.663333,9.756667,9.663333,9.74,8.414331,22186500
2014-04-03,9.666667,9.71,9.553333,9.696667,8.376896,20810400
2014-04-04,9.756667,9.756667,9.573333,9.586667,8.281869,13557600
2014-04-07,9.533333,9.633333,9.423333,9.463333,8.17532,13876800
2014-04-08,9.44,9.513333,9.41,9.42,8.137886,18343500
2014-04-09,9.446667,9.51,9.43,9.503333,8.209879,12678600
2014-04-10,9.5,9.57,9.313333,9.323333,8.054375,20157600
2014-04-11,9.286667,9.413333,9.263333,9.336667,8.065896,23964600
2014-04-14,9.413333,9.466667,9.366667,9.46,8.172442,17067000
2014-04-15,9.423333,9.513333,9.303333,9.43,8.146524,44625900
2014-04-16,9.083333,9.283333,9.046667,9.263333,8.00254,49463400
2014-04-17,9.25,9.416667,9.213333,9.383333,8.106211,25976100
2014-04-21,9.426667,9.443333,9.35,9.393333,8.114849,13813500
2014-04-22,9.4,9.48,9.396667,9.403333,8.123486,19035000
2014-04-23,9.396667,9.43,9.35,9.386667,8.109092,12463800
2014-04-24,9.436667,9.506667,9.353333,9.466667,8.178202,15913800
2014-04-25,9.443333,9.486667,9.316667,9.343333,8.071655,12513300
2014-04-28,9.386667,9.43,9.286667,9.383333,8.106211,11462700
2014-04-29,9.413333,9.446667,9.36,9.39,8.111968,11373000
2014-04-30,9.386667,9.453333,9.34,9.406667,8.126366,18561600
2014-05-01,9.396667,9.44,9.236667,9.29,8.025579,21174600
2014-05-02,9.283333,9.37,9.263333,9.276667,8.01406,16391100
2014-05-05,9.25,9.336667,9.193333,9.326667,8.057256,13613100
2014-05-06,9.28,9.373333,9.28,9.31,8.042855,19622100
2014-05-07,9.336667,9.366667,9.28,9.353333,8.080292,14380500
2014-05-08,9.363333,9.476667,9.363333,9.456667,8.16956,14760600
2014-05-09,9.443333,9.563333,9.423333,9.563333,8.261711,22032900
2014-05-12,9.583333,9.723333,9.56,9.716667,8.394175,19415100
2014-05-13,9.733333,9.853333,9.73,9.843333,8.503601,17117100
2014-05-14,9.876667,9.876667,9.746667,9.786667,8.454644,15083700
2014-05-15,9.763333,9.766667,9.613333,9.69,8.371134,20341800
2014-05-16,9.71,9.756667,9.67,9.756667,8.42873,13917600
2014-05-19,9.726667,9.803333,9.72,9.753333,8.425851,18600300
2014-05-20,9.75,9.786667,9.666667,9.733333,8.408571,23315400
2014-05-21,9.763333,9.906667,9.75,9.886667,8.541039,16119000
2014-05-22,9.883333,9.9,9.81,9.816667,8.480565,12692700
2014-05-23,9.786667,9.873333,9.756667,9.81,8.521101,10697100
2014-05-27,9.84,9.873333,9.763333,9.773333,8.489249,14776200
2014-05-28,9.793333,9.916667,9.793333,9.863333,8.567428,17261400
2014-05-29,9.9,9.916667,9.793333,9.84,8.547158,14017800
2014-05-30,9.83,9.86,9.766667,9.8,8.512413,28925100
2014-06-02,9.82,9.87,9.783333,9.85,8.555844,11445900
2014-06-03,9.78,9.82,9.646667,9.686667,8.413969,25263300
2014-06-04,9.68,9.75,9.656667,9.706667,8.431342,18167400
2014-06-05,9.74,9.98,9.716667,9.93,8.625333,25506900
2014-06-06,9.943333,10.15,9.93,10.13,8.799054,21552600
2014-06-09,10.12,10.17,10.066667,10.14,8.807744,20094600
2014-06-10,10.116667,10.133333,10.046667,10.123333,8.793262,14469000
2014-06-11,10.096667,10.166667,10.076667,10.12,8.790369,14050800
2014-06-12,10.106667,10.113333,9.966667,9.996667,8.683241,18235800
2014-06-13,10.046667,10.163333,10.046667,10.116667,8.787474,14538300
2014-06-16,10.086667,10.116667,10.04,10.086667,8.761414,15720300
2014-06-17,10.073333,10.16,10.023333,10.153333,8.819321,14710500
2014-06-18,10.163333,10.276667,10.133333,10.266667,8.917765,16852800
2014-06-19,10.263333,10.3,10.206667,10.276667,8.926451,21282900
2014-06-20,10.323333,10.356667,10.276667,10.333333,8.975671,17276400
2014-06-23,10.333333,10.363333,10.216667,10.27,8.92066,23863800
2014-06-24,10.26,10.306667,10.08,10.09,8.764312,26217000
2014-06-25,10.1,10.236667,10.083333,10.213333,8.87144,17866500
2014-06-26,10.22,10.22,10.09,10.216667,8.874333,17014800
2014-06-27,10.223333,10.276667,10.206667,10.256667,8.90908,32035800
2014-06-30,10.253333,10.376667,10.243333,10.27,8.92066,22053600
2014-07-01,10.333333,10.36,10.253333,10.323333,8.966984,13389900
2014-07-02,10.34,10.39,10.323333,10.34,8.981463,12045000
2014-07-03,10.353333,10.406667,10.35,10.4,9.033576,7536900
2014-07-07,10.343333,10.376667,10.28,10.336667,8.97857,13711800
2014-07-08,10.343333,10.393333,10.256667,10.3,8.94672,19323300
2014-07-09,10.323333,10.393333,10.313333,10.366667,9.004626,15037200
2014-07-10,10.27,10.353333,10.256667,10.28,8.929347,20471400
2014-07-11,10.296667,10.35,10.25,10.333333,8.975671,16761300
2014-07-14,10.363333,10.4,10.323333,10.343333,8.984361,23487300
2014-07-15,10.33,10.406667,10.29,10.383333,9.019105,31490400
2014-07-16,10.283333,10.433333,10.2,10.396667,9.030684,34885200
2014-07-17,10.356667,10.43,10.246667,10.253333,8.906181,18976200
2014-07-18,10.303333,10.38,10.286667,10.363333,9.001733,14592600
2014-07-21,10.353333,10.41,10.333333,10.38,9.016207,14503800
2014-07-22,10.443333,10.53,10.43,10.45,9.077011,20426400
2014-07-23,10.45,10.486667,10.36,10.376667,9.013311,14967900
2014-07-24,10.386667,10.433333,10.363333,10.366667,9.004626,10674900
2014-07-25,10.356667,10.42,10.31,10.333333,8.975671,10662900
2014-07-28,10.343333,10.356667,10.216667,10.243333,8.897496,19216800
2014-07-29,10.243333,10.26,10.146667,10.173333,8.836697,22905000
2014-07-30,10.206667,10.256667,10.113333,10.153333,8.819321,14425500
2014-07-31,10.083333,10.103333,9.96,9.973333,8.662974,17412000
2014-08-01,9.96,10.0,9.786667,9.863333,8.567428,26000400
2014-08-04,9.873333,9.91,9.796667,9.906667,8.605064,18309000
2014-08-05,9.84,9.923333,9.753333,9.81,8.521101,19108800
2014-08-06,9.75,9.81,9.69,9.77,8.486354,16724700
2014-08-07,9.796667,9.836667,9.73,9.756667,8.474774,17470800
2014-08-08,9.76,9.86,9.723333,9.846667,8.552949,15704400
2014-08-11,9.896667,10.02,9.873333,9.933333,8.62823,15720600
2014-08-12,9.876667,9.983333,9.84,9.876667,8.579006,16167000
2014-08-13,9.93,9.963333,9.88,9.906667,8.605064,13554300
2014-08-14,9.923333,10.053333,9.92,10.053333,8.732465,16313100
2014-08-15,10.096667,10.096667,9.976667,10.073333,8.749834,16149900
2014-08-18,10.136667,10.216667,10.123333,10.213333,8.87144,13935300
2014-08-19,10.243333,10.296667,10.18,10.193333,8.854067,16521000
2014-08-20,10.203333,10.303333,10.2,10.29,8.93803,18555600
2014-08-21,10.316667,10.33,10.186667,10.21,8.868542,16535400
2014-08-22,10.213333,10.263333,10.186667,10.236667,8.891708,11117100
2014-08-25,10.283333,10.283333,10.23,10.246667,8.900393,11920200
2014-08-26,10.283333,10.313333,10.26,10.276667,8.926451,14827800
2014-08-27,10.253333,10.303333,10.246667,10.26,8.958466,9351900
2014-08-28,10.246667,10.266667,10.18,10.256667,8.955559,8775300
2014-08-29,10.26,10.306667,10.23,10.303333,8.9963,10367400
2014-09-02,10.326667,10.433333,10.316667,10.353333,9.039963,10848300
2014-09-03,10.4,10.46,10.353333,10.37,9.054514,19330500
2014-09-04,10.39,10.5,10.353333,10.403333,9.083615,16395600
2014-09-05,10.413333,10.5,10.363333,10.496667,9.165114,12465300
2014-09-08,10.483333,10.496667,10.366667,10.396667,9.077798,10959000
2014-09-09,10.403333,10.42,10.336667,10.366667,9.051602,9396000
