Date,Open,High,Low,Close,Adj Close,Volume
2014-01-02,14.38,14.44,14.04,14.17,12.65996,5268500
2014-01-03,14.16,14.25,14.06,14.16,12.651021,2691400
2014-01-06,14.16,14.72,14.16,14.64,13.079874,8749300
2014-01-07,14.65,15.12,14.65,14.7,13.13348,12632500
2014-01-08,14.7,15.03,14.64,14.97,13.374704,6496500
2014-01-09,15.11,15.3,15.04,15.15,13.535523,6377800
2014-01-10,15.34,15.49,15.18,15.21,13.58913,6934500
2014-01-13,15.16,15.29,15.1,15.23,13.606997,4993300
2014-01-14,15.24,15.82,15.24,15.81,14.125192,8445700
2014-01-15,15.58,15.75,15.28,15.52,13.866096,11521300
2014-01-16,15.35,15.46,14.73,14.76,13.187082,11259600
2014-01-17,14.73,14.96,14.57,14.68,13.115606,6519400
2014-01-21,14.78,14.93,14.58,14.89,13.303233,5427000
2014-01-22,14.9,15.35,14.89,15.33,13.696343,6772900
2014-01-23,15.18,15.33,15.04,15.18,13.562326,5288100
2014-01-24,15.05,15.1,14.76,14.76,13.187082,5254100
2014-01-27,14.85,15.03,14.59,14.83,13.249623,5180700
2014-01-28,14.76,14.94,14.54,14.93,13.338968,5853600
2014-01-29,14.76,15.04,14.66,14.87,13.285362,5181400
2014-01-30,15.03,15.15,14.91,15.03,13.428313,3749200
2014-01-31,14.92,15.08,14.82,14.93,13.338968,4202900
2014-02-03,14.98,14.99,14.4,14.45,12.910122,5534100
2014-02-04,14.46,14.61,14.33,14.43,12.892252,3380300
2014-02-05,14.41,14.64,14.35,14.53,12.981591,3601700
2014-02-06,14.55,14.66,14.51,14.62,13.062002,1996600
2014-02-07,14.65,14.96,14.64,14.9,13.312161,4523300
2014-02-10,14.83,14.93,14.69,14.86,13.276428,3746600
2014-02-11,14.86,14.9,14.53,14.82,13.240691,3832500
2014-02-12,14.88,15.26,14.86,15.25,13.624864,5154500
2014-02-13,15.15,15.3,15.06,15.23,13.606997,3508700
2014-02-14,15.32,15.4,15.06,15.32,13.687407,3233700
2014-02-18,15.36,15.83,15.34,15.73,14.053714,6531200
2014-02-19,15.76,15.94,15.63,15.77,14.089455,6135800
2014-02-20,15.71,16.15,15.71,16.129999,14.411089,7722300
2014-02-21,16.02,16.620001,15.28,15.6,13.937568,11432700
2014-02-24,15.56,15.88,15.4,15.42,13.776748,7359500
2014-02-25,15.4,15.44,15.03,15.11,13.499785,6854300
2014-02-26,15.1,15.42,15.09,15.28,13.651673,3184500
2014-02-27,15.26,15.45,15.13,15.32,13.687407,4979500
2014-02-28,15.35,15.49,15.2,15.29,13.660602,3157800
2014-03-03,15.09,15.48,14.84,15.43,13.785684,3938300
2014-03-04,15.5,15.7,15.5,15.67,14.000109,3966900
2014-03-05,15.6,15.84,15.57,15.73,14.053714,3322300
2014-03-06,15.79,15.92,15.72,15.87,14.178796,4043900
2014-03-07,15.84,15.95,15.79,15.87,14.178796,2941400
2014-03-10,15.8,15.89,15.52,15.59,13.928634,2546400
2014-03-11,15.58,15.95,15.54,15.85,14.21564,7231700
2014-03-12,15.73,15.92,15.68,15.89,14.251513,6247800
2014-03-13,15.96,15.98,15.56,15.73,14.108011,3688100
2014-03-14,15.65,15.89,15.63,15.81,14.179764,4098200
2014-03-17,15.7,15.86,15.66,15.67,14.054197,3440400
2014-03-18,15.62,15.95,15.6,15.83,14.197702,4621300
2014-03-19,15.87,16.02,15.7,15.93,14.28739,4595100
2014-03-20,15.93,16.209999,15.9,16.18,14.51161,4730400
2014-03-21,16.200001,16.360001,16.139999,16.190001,14.52058,7935200
2014-03-24,16.25,16.25,15.87,15.9,14.26048,4326200
2014-03-25,15.9,15.94,15.69,15.76,14.13492,4371800
2014-03-26,15.85,15.89,15.29,15.3,13.722351,4568900
2014-03-27,15.31,15.54,15.2,15.31,13.731318,2980900
2014-03-28,15.49,15.53,15.36,15.43,13.838945,2012500
2014-03-31,15.54,15.75,15.46,15.75,14.125948,4956400
2014-04-01,16.309999,16.65,16.139999,16.200001,14.529548,13112900
2014-04-02,16.16,16.280001,16.030001,16.23,14.556457,5157900
2014-04-03,16.200001,16.34,15.88,15.88,14.242543,4907700
2014-04-04,15.99,16.190001,15.79,15.94,14.296357,7439100
2014-04-07,15.85,16.07,15.75,15.81,14.179764,4824700
2014-04-08,15.91,16.1,15.71,16.02,14.36811,6393600
2014-04-09,16.040001,16.190001,15.89,15.94,14.296357,3647500
2014-04-10,15.9,15.94,15.27,15.27,13.695444,4228200
2014-04-11,15.24,15.42,14.92,14.94,13.399469,3241400
2014-04-14,15.01,15.17,14.83,15.16,13.596786,5282500
2014-04-15,15.23,15.29,14.97,15.22,13.650599,3486300
2014-04-16,15.35,15.35,14.99,15.28,13.704416,2595600
2014-04-17,15.29,15.68,15.16,15.61,14.000383,3079200
2014-04-21,15.61,15.81,15.54,15.8,14.170794,3566600
2014-04-22,15.75,15.89,15.66,15.79,14.161827,1382000
2014-04-23,15.82,15.84,15.61,15.81,14.179764,2438400
2014-04-24,15.81,15.98,15.76,15.9,14.26048,2947300
2014-04-25,15.77,15.99,15.74,15.88,14.242543,6475300
2014-04-28,15.9,15.92,15.64,15.72,14.099044,6771200
2014-04-29,15.78,15.95,15.74,15.87,14.233576,5159500
2014-04-30,15.73,15.92,15.69,15.86,14.224607,4190700
2014-05-01,15.84,16.030001,15.47,15.85,14.21564,6402800
2014-05-02,15.86,15.94,15.7,15.83,14.197702,2936100
2014-05-05,15.83,16.01,15.75,15.91,14.269451,3854700
2014-05-06,15.91,15.94,15.37,15.4,13.812038,3477700
2014-05-07,15.45,15.54,15.2,15.32,13.740288,2663800
2014-05-08,15.31,15.7,15.29,15.4,13.812038,2011600
2014-05-09,15.27,15.54,15.16,15.48,13.883789,2359800
2014-05-12,15.52,15.72,15.52,15.64,14.027292,3862300
2014-05-13,15.7,15.71,15.16,15.19,13.623691,8483900
