Date,Open,High,Low,Close,Adj Close,Volume
2014-01-02,3.98,3.995,3.93,3.965,3.741747,26009200
2014-01-03,3.9725,3.98,3.905,3.9175,3.696921,25933200
2014-01-06,3.9575,4.0,3.92,3.97,3.746465,40949200
2014-01-07,4.01,4.05,3.9825,4.035,3.807805,33328800
2014-01-08,4.05,4.11,4.035,4.09,3.859708,30819200
2014-01-09,4.0275,4.035,3.925,3.9375,3.715796,29217200
2014-01-10,3.95,3.9775,3.8975,3.9325,3.711076,21849200
2014-01-13,3.9325,3.9575,3.8325,3.84,3.623785,24333200
2014-01-14,3.86,3.9675,3.8425,3.96,3.737028,24182800
2014-01-15,3.9775,4.0175,3.96,4.0025,3.777135,17504400
2014-01-16,4.0025,4.0225,3.985,4.015,3.788931,22065200
2014-01-17,4.015,4.0625,3.9725,3.9975,3.772417,34040000
2014-01-21,4.0025,4.0375,3.97,4.0125,3.786572,24607600
2014-01-22,4.02,4.025,3.96,4.0075,3.781854,33794000
2014-01-23,3.995,4.0375,3.9625,3.9925,3.767698,18502800
2014-01-24,3.96,3.975,3.89,3.89,3.670969,24669600
2014-01-27,3.89,3.945,3.8425,3.865,3.647378,23381200
2014-01-28,3.8575,3.905,3.8425,3.9025,3.682766,16799600
2014-01-29,3.8875,3.91,3.8625,3.865,3.647378,16294400
2014-01-30,3.8875,3.9375,3.875,3.93,3.708717,20289600
2014-01-31,3.875,3.9475,3.8725,3.925,3.704,33534800
2014-02-03,3.9525,3.9575,3.8575,3.8725,3.654455,43172800
2014-02-04,3.87,3.9025,3.85,3.895,3.675688,28069200
2014-02-05,3.8675,3.88,3.83,3.86,3.642659,21467600
2014-02-06,3.865,3.92,3.86,3.91,3.689844,16838000
2014-02-07,3.92,3.9725,3.885,3.9675,3.744106,15724800
2014-02-10,3.9625,4.0325,3.96,3.98,3.755902,32437200
2014-02-11,4.0025,4.0725,3.9825,4.0625,3.833756,23538400
2014-02-12,4.075,4.2375,4.075,4.2075,3.970592,74452800
2014-02-13,4.3125,4.365,4.2375,4.34,4.095633,90283600
