Date,Open,High,Low,Close,Adj Close,Volume
2014-01-02,44.700001,44.700001,43.619999,43.919998,41.048016,3772700
2014-01-03,44.110001,44.34,43.080002,43.560001,40.711563,3634200
2014-01-06,43.93,44.0,42.77,43.119999,40.300331,2580000
2014-01-07,43.290001,43.580002,42.68,42.970001,40.160137,3207200
2014-01-08,43.150002,43.919998,42.900002,43.830002,40.963905,2239000
2014-01-09,43.950001,44.209999,42.900002,43.060001,40.244259,3617000
2014-01-10,43.32,43.450001,42.700001,43.0,40.188179,4832200
2014-01-13,43.060001,43.490002,42.419998,42.939999,40.132103,4311500
2014-01-14,43.209999,44.209999,43.0,44.119999,41.234936,6310300
2014-01-15,44.639999,45.669998,44.419998,45.389999,42.42189,2820700
2014-01-16,45.540001,46.060001,45.119999,46.0,42.992004,2142000
2014-01-17,45.849998,47.200001,45.849998,46.720001,43.664921,3245300
2014-01-21,47.75,47.799999,46.360001,46.66,43.608845,2398500
2014-01-22,46.619999,47.880001,46.5,47.849998,44.721027,1876000
2014-01-23,47.32,47.900002,47.09,47.849998,44.721027,2816100
2014-01-24,47.790001,47.849998,45.380001,45.580002,42.599468,3619000
2014-01-27,45.93,46.419998,45.459999,46.0,42.992004,3347300
2014-01-28,46.0,47.150002,45.68,46.689999,43.636879,2218500
2014-01-29,46.75,47.939999,46.669998,47.259998,44.169605,3643100
2014-01-30,47.759998,48.349998,47.459999,47.849998,44.721027,1695900
2014-01-31,47.5,48.549999,47.139999,48.349998,45.188324,2619400
2014-02-03,48.630001,48.650002,45.220001,45.82,42.823765,3867900
2014-02-04,46.720001,47.02,45.700001,47.0,43.926613,2372400
2014-02-05,46.630001,47.119999,46.299999,47.0,43.926613,4924500
2014-02-06,47.259998,49.880001,46.560001,49.599998,46.356594,6893800
2014-02-07,49.18,52.060001,49.18,52.049999,48.646389,6752900
2014-02-10,51.380001,52.450001,51.310001,52.240002,48.823963,4084600
2014-02-11,52.419998,52.59,51.990002,52.080002,48.674431,2586400
2014-02-12,52.080002,53.169998,52.080002,52.630001,49.188469,2734100
2014-02-13,52.200001,54.07,52.099998,53.619999,50.113731,5198400
2014-02-14,55.0,56.240002,54.18,55.599998,51.964245,6878500
2014-02-18,56.0,56.880001,55.27,56.790001,53.076435,4098200
2014-02-19,56.93,57.380001,56.57,56.790001,53.076435,3589000
2014-02-20,57.099998,57.799999,56.580002,56.740002,53.029705,4482000
2014-02-21,57.16,57.169998,55.549999,56.150002,52.478279,3420100
2014-02-24,56.439999,56.759998,55.540001,55.549999,51.917515,2982300
2014-02-25,55.919998,56.099998,55.07,56.02,52.356777,2726700
2014-02-26,56.099998,56.77,55.439999,55.549999,51.917515,3704200
2014-02-27,55.75,56.77,55.439999,56.599998,52.898857,2547900
2014-02-28,56.700001,56.830002,55.799999,56.23,52.553051,2293900
2014-03-03,55.740002,55.990002,54.919998,55.91,52.253979,1921500
2014-03-04,56.860001,57.93,56.389999,57.84,54.057766,2490200
2014-03-05,57.990002,58.169998,56.950001,57.580002,53.814777,2667000
2014-03-06,57.900002,59.93,57.810001,59.91,55.992416,4943600
2014-03-07,60.0,60.369999,57.84,58.560001,54.730694,4781000
2014-03-10,58.48,58.880001,56.950001,57.139999,53.403545,2924500
2014-03-11,58.09,58.91,56.470001,56.810001,53.095119,2913200
2014-03-12,56.509998,57.709999,55.900002,57.529999,53.768044,2152800
2014-03-13,57.849998,58.400002,56.43,57.349998,53.599812,3241800
2014-03-14,57.009998,58.200001,57.009998,57.619999,53.852158,2814400
2014-03-17,57.939999,59.360001,57.939999,58.41,54.590496,2697900
2014-03-18,58.560001,59.099998,57.93,58.73,54.889576,2657800
2014-03-19,58.900002,59.220001,58.34,58.860001,55.01107,2325900
2014-03-20,58.740002,59.849998,58.310001,59.849998,55.936329,2191600
2014-03-21,60.34,60.48,57.580002,57.970001,54.179276,3589400
2014-03-24,58.189999,58.630001,56.130001,56.439999,52.749321,3254800
2014-03-25,57.189999,58.099998,56.540001,56.950001,53.225979,2870200
2014-03-26,59.119999,60.310001,57.43,58.09,54.291424,5298400
2014-03-27,58.470001,58.470001,56.02,57.259998,53.51569,3208100
2014-03-28,57.830002,59.049999,57.310001,57.66,53.889542,2552700
2014-03-31,58.310001,59.580002,57.880001,58.810001,54.964352,2407400
2014-04-01,58.990002,61.279999,58.810001,60.93,56.945709,4070300
2014-04-02,61.990002,62.310001,60.689999,61.34,57.328907,3660600
