Date,Open,High,Low,Close,Adj Close,Volume
2014-01-02,39.293331,39.333332,38.813332,39.006668,27.981514,1617000
2014-01-03,39.073334,39.360001,38.860001,39.086666,28.0389,1614300
2014-01-06,39.779999,40.113335,39.273335,39.439999,28.292364,5253150
2014-01-07,39.433334,39.580002,39.200001,39.413334,28.273243,2382150
2014-01-08,39.413334,39.493332,38.953335,39.313332,28.201509,2671200
2014-01-09,39.393333,39.493332,38.826668,39.333332,28.215858,1581750
2014-01-10,39.413334,39.466667,38.993332,39.459999,28.306717,1851300
2014-01-13,39.240002,39.513332,38.786667,38.933334,27.928905,2144100
2014-01-14,38.98,39.16,38.693333,39.080002,28.034122,2389200
2014-01-15,39.133331,39.546665,38.913334,39.259998,28.16324,2053350
2014-01-16,39.333332,39.5,39.133331,39.5,28.335409,1696200
2014-01-17,39.453335,39.82,39.333332,39.686668,28.469322,2546100
2014-01-21,39.886665,40.0,39.32,39.566666,28.383224,1807650
2014-01-22,39.586666,39.740002,39.273335,39.32,28.206287,1650000
2014-01-23,38.900002,39.213333,38.799999,38.833332,27.857172,2578800
2014-01-24,38.626667,38.626667,37.473331,37.493332,26.89592,3675150
2014-01-27,37.380001,38.166668,37.093334,37.700001,27.044176,3136650
2014-01-28,37.726665,38.086666,37.366669,37.866669,27.163736,1970550
2014-01-29,37.466667,38.186668,37.253334,37.693333,27.039396,2662500
2014-01-30,38.040001,38.5,37.566666,38.299999,27.474586,3193500
2014-01-31,36.893333,38.0,36.746666,37.333332,26.781143,5223150
2014-02-03,37.113335,38.333332,35.900002,36.0,25.824673,4488150
2014-02-04,36.313332,36.906666,35.726665,36.706669,26.331619,7095900
2014-02-05,37.346668,37.98,36.966667,37.933334,27.211557,9138300
2014-02-06,37.873333,39.226665,37.813332,39.086666,28.0389,4652400
2014-02-07,39.186668,39.720001,39.060001,39.433334,28.287582,3407550
2014-02-10,39.286667,39.386665,38.82,38.993332,27.971949,2377200
2014-02-11,38.973331,39.646667,38.913334,39.459999,28.306717,2085450
2014-02-12,39.526669,39.826668,39.326668,39.486668,28.421885,2475450
2014-02-13,39.173332,39.933334,38.900002,39.900002,28.719402,3060600
2014-02-14,39.653332,41.113335,39.646667,41.026669,29.530348,5659950
2014-02-18,41.166668,41.860001,41.133331,41.526669,29.890245,4016850
2014-02-19,41.333332,41.726665,41.119999,41.206669,29.65992,3463200
2014-02-20,41.299999,41.526669,41.099998,41.333332,29.751076,2103900
2014-02-21,43.293331,43.393333,41.226665,41.580002,29.928633,3087450
2014-02-24,41.799999,43.573334,41.686668,42.793331,30.80197,6502950
2014-02-25,42.613335,43.213333,42.306667,43.106667,31.027496,3714750
2014-02-26,43.293331,43.419998,42.733334,42.966667,30.926729,2471250
2014-02-27,43.66,43.666668,42.799999,43.326668,31.185846,2484450
2014-02-28,43.526669,44.306667,43.206669,43.893333,31.593735,3921600
2014-03-03,43.353333,43.639999,43.133331,43.386665,31.22904,2728800
2014-03-04,43.933334,44.099998,43.566666,43.939999,31.627317,3714600
2014-03-05,43.919998,44.253334,43.366669,43.540001,31.339399,3027750
2014-03-06,43.793331,43.966667,43.586666,43.926666,31.61771,1840200
2014-03-07,43.946667,44.293331,43.746666,43.953335,31.636917,1917450
2014-03-10,43.766666,43.98,43.380001,43.706669,31.459385,1489650
2014-03-11,43.433334,44.326668,43.433334,43.853333,31.564939,2184600
2014-03-12,43.593334,44.259998,43.446667,44.233334,31.838459,2232600
2014-03-13,44.419998,44.419998,43.206669,43.533333,31.334599,3256200
2014-03-14,43.326668,43.720001,43.206669,43.333332,31.190653,2694750
2014-03-17,43.779999,44.613335,43.720001,44.34,31.915222,2542200
2014-03-18,44.32,44.939999,44.113335,44.833332,32.270332,2551350
2014-03-19,44.686668,44.919998,44.02,44.459999,32.001602,2386800
2014-03-20,44.16,44.786667,44.073334,44.626667,32.121574,1614900
2014-03-21,45.119999,45.406666,44.619999,44.926666,32.337517,4815600
2014-03-24,45.006668,45.053333,43.986668,44.419998,31.972811,3026400
