Date,Open,High,Low,Close,Adj Close,Volume
2014-01-02,39.900002,40.220001,39.049999,40.18,40.18,589300
2014-01-03,40.150002,40.560001,39.16,39.240002,39.240002,732300
2014-01-06,39.349998,39.349998,38.349998,38.57,38.57,1089200
2014-01-07,38.849998,40.34,38.849998,40.0,40.0,817900
2014-01-08,40.150002,41.130001,39.700001,41.040001,41.040001,795100
2014-01-09,41.279999,42.130001,40.709999,41.349998,41.349998,633300
2014-01-10,41.360001,43.0,40.599998,42.970001,42.970001,879300
2014-01-13,43.09,44.389999,41.07,41.619999,41.619999,1074200
2014-01-14,41.650002,43.869999,41.509998,43.790001,43.790001,715900
2014-01-15,44.0,44.049999,42.689999,43.889999,43.889999,875000
2014-01-16,43.799999,46.459999,43.509998,46.419998,46.419998,1360000
2014-01-17,47.0,48.360001,46.459999,47.950001,47.950001,1699000
2014-01-21,48.5,49.450001,46.810001,47.950001,47.950001,1047900
2014-01-22,47.950001,47.98,46.849998,47.970001,47.970001,688400
2014-01-23,47.310001,47.799999,46.450001,47.59,47.59,765600
2014-01-24,46.91,46.98,45.310001,45.450001,45.450001,1174000
2014-01-27,45.209999,45.740002,42.849998,44.939999,44.939999,1036200
2014-01-28,44.98,46.130001,44.540001,45.189999,45.189999,873100
2014-01-29,44.509998,46.02,43.75,45.290001,45.290001,821000
2014-01-30,45.889999,46.950001,44.98,46.209999,46.209999,1020300
2014-01-31,45.5,45.990002,44.82,44.860001,44.860001,859100
2014-02-03,44.759998,45.23,43.060001,43.299999,43.299999,1538400
2014-02-04,43.709999,44.580002,43.419998,43.900002,43.900002,876700
2014-02-05,43.830002,44.23,41.700001,42.700001,42.700001,1002900
2014-02-06,42.75,43.130001,41.509998,41.650002,41.650002,849600
2014-02-07,41.830002,43.990002,41.75,43.93,43.93,575500
2014-02-10,44.02,44.939999,43.540001,44.830002,44.830002,804900
2014-02-11,44.970001,45.98,44.639999,45.599998,45.599998,1049400
2014-02-12,47.740002,51.970001,45.599998,50.490002,50.490002,4026000
2014-02-13,49.349998,51.130001,49.220001,51.049999,51.049999,981700
2014-02-14,50.560001,51.509998,49.080002,50.119999,50.119999,928800
2014-02-18,50.43,52.849998,50.349998,52.119999,52.119999,1290500
2014-02-19,52.009998,52.66,51.119999,51.470001,51.470001,954400
2014-02-20,51.630001,53.540001,51.150002,53.220001,53.220001,1074600
2014-02-21,53.459999,55.860001,53.259998,54.919998,54.919998,1347500
2014-02-24,52.16,54.450001,52.119999,54.330002,54.330002,1399900
2014-02-25,54.400002,55.0,52.549999,54.240002,54.240002,1265200
2014-02-26,54.279999,54.59,53.310001,53.860001,53.860001,772600
2014-02-27,53.970001,55.630001,53.02,55.139999,55.139999,1029400
2014-02-28,54.549999,55.990002,51.799999,52.59,52.59,1293300
2014-03-03,51.779999,52.48,51.009998,52.27,52.27,1154300
2014-03-04,52.799999,53.759998,52.18,52.990002,52.990002,1227300
2014-03-05,53.02,53.759998,52.25,53.369999,53.369999,780400
2014-03-06,53.48,53.689999,51.200001,51.290001,51.290001,1046500
2014-03-07,51.450001,51.919998,50.25,51.779999,51.779999,1306700
2014-03-10,52.360001,52.91,50.400002,51.610001,51.610001,718500
2014-03-11,51.709999,52.700001,50.689999,51.23,51.23,685300
2014-03-12,50.740002,52.23,50.580002,52.02,52.02,782900
2014-03-13,52.32,52.41,49.419998,50.02,50.02,1316700
2014-03-14,50.0,51.419998,49.060001,50.290001,50.290001,655800
2014-03-17,50.779999,51.970001,50.23,50.790001,50.790001,867900
2014-03-18,50.970001,53.57,50.73,53.450001,53.450001,1084200
2014-03-19,53.82,55.459999,53.150002,53.57,53.57,1583200
