Date,Open,High,Low,Close,Adj Close,Volume
2014-01-02,3.46,3.52,3.45,3.5,3.164436,34734400
2014-01-03,3.59,3.64,3.54,3.57,3.227725,56268200
2014-01-06,3.84,3.86,3.75,3.83,3.462799,405676500
2014-01-07,3.86,3.87,3.81,3.86,3.489923,194397000
2014-01-08,3.86,3.89,3.76,3.77,3.408551,152056000
2014-01-09,3.76,3.83,3.74,3.79,3.426633,100438700
2014-01-10,3.82,3.82,3.69,3.7,3.345262,201482400
2014-01-13,3.76,3.76,3.65,3.67,3.318138,110845100
2014-01-14,3.68,3.7,3.64,3.67,3.318138,104799900
2014-01-15,3.68,3.7,3.65,3.69,3.336221,61238000
2014-01-16,3.68,3.72,3.67,3.67,3.318138,47650500
2014-01-17,3.67,3.73,3.67,3.72,3.363345,55527300
2014-01-21,3.75,3.75,3.69,3.71,3.354304,35947600
2014-01-22,3.72,3.74,3.69,3.74,3.381427,33268300
2014-01-23,3.71,3.72,3.69,3.72,3.363345,30694800
2014-01-24,3.7,3.7,3.62,3.64,3.291015,59172800
2014-01-27,3.65,3.66,3.58,3.66,3.309097,54981400
2014-01-28,3.65,3.67,3.6,3.63,3.281973,68145800
2014-01-29,3.59,3.66,3.57,3.59,3.245808,68263400
2014-01-30,3.6,3.63,3.58,3.6,3.254849,42457900
2014-01-31,3.55,3.6,3.52,3.58,3.236767,32772900
2014-02-03,3.59,3.62,3.47,3.55,3.209643,77592800
2014-02-04,3.5,3.55,3.46,3.52,3.18252,64691400
2014-02-05,3.48,3.5,3.35,3.43,3.101149,118877100
2014-02-06,3.42,3.48,3.42,3.45,3.119231,50592300
2014-02-07,3.46,3.5,3.44,3.49,3.155396,42504800
2014-02-10,3.48,3.51,3.47,3.49,3.155396,38481000
2014-02-11,3.5,3.58,3.49,3.57,3.227725,52015100
2014-02-12,3.59,3.61,3.52,3.56,3.218685,29243500
2014-02-13,3.42,3.54,3.42,3.51,3.173479,143285300
2014-02-14,3.5,3.57,3.49,3.56,3.218685,49262800
2014-02-18,3.56,3.58,3.55,3.58,3.236767,18755200
2014-02-19,3.56,3.58,3.55,3.57,3.227725,39249700
2014-02-20,3.56,3.61,3.55,3.6,3.254849,41190000
2014-02-21,3.61,3.61,3.57,3.61,3.263891,29326100
2014-02-24,3.61,3.62,3.57,3.59,3.245808,48424800
2014-02-25,3.59,3.61,3.56,3.58,3.236767,28739100
2014-02-26,3.59,3.59,3.56,3.57,3.227725,28302300
2014-02-27,3.56,3.62,3.56,3.61,3.263891,34263100
2014-02-28,3.62,3.63,3.6,3.61,3.263891,31887900
2014-03-03,3.59,3.61,3.56,3.57,3.227725,22844200
2014-03-04,3.59,3.63,3.57,3.59,3.245808,46844000
2014-03-05,3.61,3.63,3.55,3.55,3.209643,89015600
2014-03-06,3.55,3.58,3.51,3.56,3.218685,46961200
2014-03-07,3.59,3.6,3.51,3.51,3.173479,26457100
2014-03-10,3.51,3.53,3.45,3.47,3.137314,61429900
2014-03-11,3.49,3.5,3.43,3.43,3.101149,38909600
2014-03-12,3.43,3.45,3.37,3.39,3.064984,84507100
2014-03-13,3.41,3.43,3.36,3.37,3.046901,46920400
2014-03-14,3.36,3.52,3.35,3.44,3.11019,299951500
2014-03-17,3.49,3.49,3.39,3.42,3.092107,50084600
2014-03-18,3.43,3.44,3.38,3.39,3.064984,54984800
2014-03-19,3.39,3.44,3.38,3.4,3.074024,58991700
2014-03-20,3.4,3.4,3.36,3.36,3.03786,44942000
2014-03-21,3.38,3.4,3.35,3.35,3.028818,66181900
2014-03-24,3.36,3.36,3.22,3.26,2.947448,136028700
2014-03-25,3.27,3.3,3.09,3.17,2.866076,182433100
2014-03-26,3.22,3.25,3.15,3.16,2.857034,97461600
2014-03-27,3.15,3.2,3.09,3.13,2.82991,78456900
2014-03-28,3.16,3.21,3.15,3.16,2.857034,52809700
2014-03-31,3.18,3.21,3.15,3.2,2.8932,67069000
2014-04-01,3.2,3.24,3.19,3.24,2.929364,64986800
2014-04-02,3.27,3.36,3.26,3.34,3.019777,167444200
2014-04-03,3.36,3.4,3.26,3.28,2.965529,76572000
2014-04-04,3.32,3.34,3.2,3.2,2.8932,62757200
2014-04-07,3.2,3.21,3.11,3.12,2.82087,81414300
2014-04-08,3.14,3.15,3.06,3.07,2.775663,137591800
2014-04-09,3.08,3.16,3.08,3.14,2.838952,147610200
2014-04-10,3.13,3.18,3.05,3.1,2.802787,123069900
2014-04-11,3.13,3.24,3.1,3.16,2.857034,89953700
2014-04-14,3.19,3.2,3.1,3.13,2.82991,50196800
2014-04-15,3.13,3.14,3.0,3.09,2.793746,94756900
2014-04-16,3.09,3.17,3.09,3.17,2.866076,50215100
2014-04-17,3.17,3.19,3.13,3.14,2.838952,34473100
2014-04-21,3.14,3.21,3.14,3.19,2.884158,34069900
2014-04-22,3.2,3.24,3.19,3.22,2.911282,40950200
2014-04-23,3.22,3.24,3.16,3.17,2.866076,39358400
2014-04-24,3.19,3.25,3.12,3.2,2.8932,104334500
2014-04-25,3.18,3.18,3.08,3.12,2.82087,65156700
2014-04-28,3.11,3.13,2.98,3.07,2.775663,84285400
2014-04-29,3.06,3.11,3.0,3.07,2.775663,58392700
2014-04-30,3.05,3.19,3.05,3.19,2.884158,58855600
2014-05-01,3.17,3.23,3.17,3.22,2.911282,62724500
2014-05-02,3.21,3.26,3.21,3.24,2.929364,54285500
2014-05-05,3.22,3.24,3.17,3.23,2.920324,24404300
2014-05-06,3.2,3.23,3.18,3.19,2.884158,27073300
2014-05-07,3.2,3.21,3.12,3.15,2.847994,42983200
2014-05-08,3.14,3.2,3.14,3.15,2.847994,35684700
2014-05-09,3.15,3.16,3.12,3.16,2.857034,31161200
2014-05-12,3.16,3.22,3.15,3.2,2.8932,30458600
2014-05-13,3.2,3.29,3.2,3.27,2.95649,68940400
2014-05-14,3.26,3.28,3.2,3.22,2.911282,45144800
2014-05-15,3.2,3.2,3.09,3.15,2.847994,61971700
2014-05-16,3.15,3.16,3.09,3.12,2.82087,68014100
2014-05-19,3.1,3.17,3.1,3.16,2.857034,45629400
2014-05-20,3.15,3.21,3.15,3.17,2.866076,42835600
2014-05-21,3.18,3.23,3.16,3.17,2.866076,51141900
2014-05-22,3.17,3.28,3.17,3.27,2.95649,80819800
2014-05-23,3.28,3.3,3.24,3.27,2.95649,51229400
2014-05-27,3.27,3.33,3.26,3.32,3.001695,47394100
2014-05-28,3.3,3.33,3.29,3.3,2.983612,30337400
2014-05-29,3.31,3.36,3.3,3.32,3.001695,100353600
2014-05-30,3.33,3.33,3.22,3.28,2.965529,94038600
2014-06-02,3.28,3.32,3.27,3.28,2.965529,32267900
