Date,Open,High,Low,Close,Adj Close,Volume
2014-01-02,43.439999,43.5,42.880001,43.099998,33.747906,6959200
2014-01-03,43.119999,43.459999,42.970001,43.290001,33.896687,4693300
2014-01-06,43.25,43.279999,42.849998,42.93,33.614803,4446300
2014-01-07,42.98,43.110001,42.639999,42.700001,33.434715,5078900
2014-01-08,42.959999,43.32,42.619999,43.290001,33.896687,6353500
2014-01-09,43.279999,43.389999,42.900002,43.060001,33.716602,3383800
2014-01-10,43.150002,43.25,42.740002,43.110001,33.755745,5330900
2014-01-13,42.959999,43.099998,42.119999,42.240002,33.074535,6759100
2014-01-14,42.5,43.400002,42.349998,43.34,33.935844,6892700
2014-01-15,43.450001,43.650002,43.099998,43.540001,34.092449,6605400
2014-01-16,43.52,43.599998,43.240002,43.369999,33.959324,4086900
2014-01-17,43.200001,43.849998,43.009998,43.450001,34.021976,6614200
2014-01-21,43.75,43.93,43.369999,43.849998,34.335178,7413800
2014-01-22,43.700001,44.82,43.549999,44.610001,34.930275,9822000
2014-01-23,44.119999,44.549999,43.950001,44.09,34.523102,8236400
2014-01-24,43.790001,44.029999,42.880001,42.950001,33.630466,10676700
2014-01-27,42.950001,43.27,42.549999,42.639999,33.38773,7360000
2014-01-28,42.580002,42.93,42.299999,42.900002,33.59132,6356100
2014-01-29,42.32,42.75,42.240002,42.400002,33.433613,8619600
2014-01-30,42.610001,42.93,42.43,42.689999,33.662281,6703000
2014-01-31,41.349998,42.650002,41.259998,42.400002,33.433613,12821700
2014-02-03,42.419998,42.5,41.380001,41.5,32.723938,12669400
2014-02-04,41.599998,41.700001,40.849998,40.889999,32.242943,10529900
2014-02-05,40.630001,41.130001,40.330002,40.970001,32.306026,9254300
2014-02-06,41.189999,41.439999,41.0,41.23,32.511032,4734500
2014-02-07,41.560001,42.0,41.290001,41.950001,33.078781,6005000
2014-02-10,41.970001,42.369999,41.889999,42.360001,33.402069,4666000
2014-02-11,42.759998,43.290001,42.310001,43.130001,34.009239,7149900
2014-02-12,43.240002,43.439999,43.009998,43.299999,34.143288,5041200
2014-02-13,43.049999,43.75,43.049999,43.740002,34.490242,5029100
2014-02-14,43.52,43.939999,43.400002,43.860001,34.584862,4907400
2014-02-18,43.75,44.07,43.240002,44.009998,34.703144,5826100
2014-02-19,43.830002,44.150002,43.669998,43.93,34.640053,5346600
2014-02-20,43.849998,44.259998,43.799999,44.200001,34.852959,5371100
2014-02-21,44.400002,44.43,44.02,44.150002,34.813541,5669500
2014-02-24,44.220001,44.830002,44.200001,44.450001,35.050095,5311800
2014-02-25,44.490002,44.709999,44.07,44.470001,35.065868,5303900
2014-02-26,44.5,44.939999,44.490002,44.630001,35.19202,4532100
2014-02-27,44.529999,44.82,44.48,44.779999,35.310303,4343500
2014-02-28,44.880001,45.189999,44.580002,44.959999,35.452244,5772900
2014-03-03,44.68,44.939999,44.349998,44.580002,35.152603,4679400
2014-03-04,44.830002,45.41,44.82,45.259998,35.688812,5112200
2014-03-05,44.150002,45.599998,44.150002,45.18,35.625717,5094800
